meet	div	ov	triage_verdict	own_med	sibling_med	n_siblings	call	note
7474	4	6000.0	UNIFORM_NEG	-22.2	-0.6	5	DIV_SPECIFIC	siblings flat (-0.6%) while this is -22.2% -- the LABEL is the difference. Draft is safe to page-verify.
7585	0	6000.0	UNIFORM_NEG	-20.0	+7.3	1	DIV_SPECIFIC	siblings flat (+7.3%) while this is -20.0% -- the LABEL is the difference. Draft is safe to page-verify.
7587	1	6000.0	UNIFORM_NEG	-20.6	-1.0	2	DIV_SPECIFIC	siblings flat (-1.0%) while this is -20.6% -- the LABEL is the difference. Draft is safe to page-verify.
8025	0	5000.0	UNIFORM_NEG	-33.2		0	ALONE	no sibling divisions -- cannot separate
8159	0	4000.0	UNIFORM_NEG	-17.4	+1.1	1	DIV_SPECIFIC	siblings flat (+1.1%) while this is -17.4% -- the LABEL is the difference. Draft is safe to page-verify.
8171	2	6000.0	UNIFORM_NEG	-17.7	-0.4	6	DIV_SPECIFIC	siblings flat (-0.4%) while this is -17.7% -- the LABEL is the difference. Draft is safe to page-verify.
8265	1	4000.0	UNIFORM_NEG	-29.0	+2.0	1	DIV_SPECIFIC	siblings flat (+2.0%) while this is -29.0% -- the LABEL is the difference. Draft is safe to page-verify.
8430	1	4180.0	UNIFORM_NEG	-24.8	+4.0	1	DIV_SPECIFIC	siblings flat (+4.0%) while this is -24.8% -- the LABEL is the difference. Draft is safe to page-verify.
8635	1	6437.0	UNIFORM_NEG	-20.1	-0.6	4	DIV_SPECIFIC	siblings flat (-0.6%) while this is -20.1% -- the LABEL is the difference. Draft is safe to page-verify.
8655	13	4000.0	UNIFORM_NEG	-17.7	+0.4	19	DIV_SPECIFIC	siblings flat (+0.4%) while this is -17.7% -- the LABEL is the difference. Draft is safe to page-verify.
8715	0	3218.0	UNIFORM_NEG	-30.3	+3.2	1	DIV_SPECIFIC	siblings flat (+3.2%) while this is -30.3% -- the LABEL is the difference. Draft is safe to page-verify.
9030	2	6000.0	UNIFORM_NEG	-24.4	-0.7	4	DIV_SPECIFIC	siblings flat (-0.7%) while this is -24.4% -- the LABEL is the difference. Draft is safe to page-verify.
9067	3	6000.0	UNIFORM_NEG	-22.9	+0.1	6	DIV_SPECIFIC	siblings flat (+0.1%) while this is -22.9% -- the LABEL is the difference. Draft is safe to page-verify.
9130	1	6437.0	UNIFORM_NEG	-18.1	-4.9	2	PARTIAL_SHARE	siblings shifted -4.9% vs this -18.1% -- ambiguous
9265	0	6000.0	UNIFORM_NEG	-19.7	+3.5	2	DIV_SPECIFIC	siblings flat (+3.5%) while this is -19.7% -- the LABEL is the difference. Draft is safe to page-verify.
9293	1	6000.0	UNIFORM_NEG	-20.8	+3.0	2	DIV_SPECIFIC	siblings flat (+3.0%) while this is -20.8% -- the LABEL is the difference. Draft is safe to page-verify.
9333	1	8000.0	UNIFORM_NEG	-16.0	+1.4	2	DIV_SPECIFIC	siblings flat (+1.4%) while this is -16.0% -- the LABEL is the difference. Draft is safe to page-verify.
9351	2	6437.0	UNIFORM_NEG	-17.1	-2.4	7	DIV_SPECIFIC	siblings flat (-2.4%) while this is -17.1% -- the LABEL is the difference. Draft is safe to page-verify.
10064	0	4000.0	UNIFORM_NEG	-39.4	+1.9	1	DIV_SPECIFIC	siblings flat (+1.9%) while this is -39.4% -- the LABEL is the difference. Draft is safe to page-verify.
10438	3	5000.0	UNIFORM_POS	+20.8	-0.5	4	DIV_SPECIFIC	siblings flat (-0.5%) while this is +20.8% -- the LABEL is the difference. Draft is safe to page-verify.
10484	1	6437.0	UNIFORM_NEG	-18.0	-1.8	3	DIV_SPECIFIC	siblings flat (-1.8%) while this is -18.0% -- the LABEL is the difference. Draft is safe to page-verify.
10489	1	6437.0	UNIFORM_NEG	-17.9	+3.7	1	DIV_SPECIFIC	siblings flat (+3.7%) while this is -17.9% -- the LABEL is the difference. Draft is safe to page-verify.
10492	1	6437.0	UNIFORM_NEG	-19.1	+1.9	1	DIV_SPECIFIC	siblings flat (+1.9%) while this is -19.1% -- the LABEL is the difference. Draft is safe to page-verify.
10503	1	6437.0	UNIFORM_NEG	-19.5	-0.8	2	DIV_SPECIFIC	siblings flat (-0.8%) while this is -19.5% -- the LABEL is the difference. Draft is safe to page-verify.
10511	1	6437.0	UNIFORM_NEG	-19.2	+1.9	1	DIV_SPECIFIC	siblings flat (+1.9%) while this is -19.2% -- the LABEL is the difference. Draft is safe to page-verify.
10537	1	6437.0	UNIFORM_NEG	-22.4	+0.1	1	DIV_SPECIFIC	siblings flat (+0.1%) while this is -22.4% -- the LABEL is the difference. Draft is safe to page-verify.
10610	1	6437.0	UNIFORM_NEG	-22.4	+0.1	1	DIV_SPECIFIC	siblings flat (+0.1%) while this is -22.4% -- the LABEL is the difference. Draft is safe to page-verify.
10642	1	6437.0	UNIFORM_NEG	-17.5	+1.7	1	DIV_SPECIFIC	siblings flat (+1.7%) while this is -17.5% -- the LABEL is the difference. Draft is safe to page-verify.
10643	1	6437.0	UNIFORM_NEG	-17.0	-2.0	5	DIV_SPECIFIC	siblings flat (-2.0%) while this is -17.0% -- the LABEL is the difference. Draft is safe to page-verify.
10738	1	6437.0	UNIFORM_NEG	-19.1	+3.9	3	DIV_SPECIFIC	siblings flat (+3.9%) while this is -19.1% -- the LABEL is the difference. Draft is safe to page-verify.
10895	0	6000.0	UNIFORM_NEG	-19.8	-2.9	6	DIV_SPECIFIC	siblings flat (-2.9%) while this is -19.8% -- the LABEL is the difference. Draft is safe to page-verify.
12503	1	4180.0	UNIFORM_NEG	-27.6	-3.1	1	DIV_SPECIFIC	siblings flat (-3.1%) while this is -27.6% -- the LABEL is the difference. Draft is safe to page-verify.
12731	1	6437.0	UNIFORM_NEG	-17.3	+4.0	1	DIV_SPECIFIC	siblings flat (+4.0%) while this is -17.3% -- the LABEL is the difference. Draft is safe to page-verify.
13545	61595	4000.0	UNIFORM_POS	+17.6	-3.7	3	DIV_SPECIFIC	siblings flat (-3.7%) while this is +17.6% -- the LABEL is the difference. Draft is safe to page-verify.
13831	1	6000.0	UNIFORM_POS	+19.9	+8.5	1	PARTIAL_SHARE	siblings shifted +8.5% vs this +19.9% -- ambiguous
14092	1	6437.0	UNIFORM_NEG	-15.8	+1.2	1	DIV_SPECIFIC	siblings flat (+1.2%) while this is -15.8% -- the LABEL is the difference. Draft is safe to page-verify.
14439	1	6437.0	UNIFORM_NEG	-15.6	+1.0	1	DIV_SPECIFIC	siblings flat (+1.0%) while this is -15.6% -- the LABEL is the difference. Draft is safe to page-verify.
14730	5	6437.0	UNIFORM_NEG	-18.7	-2.3	1	DIV_SPECIFIC	siblings flat (-2.3%) while this is -18.7% -- the LABEL is the difference. Draft is safe to page-verify.
14971	0	6000.0	UNIFORM_NEG	-16.2		0	ALONE	no sibling divisions -- cannot separate
15175	4	5000.0	UNIFORM_POS	+20.1	-3.9	3	DIV_SPECIFIC	siblings flat (-3.9%) while this is +20.1% -- the LABEL is the difference. Draft is safe to page-verify.
15249	1	4000.0	UNIFORM_NEG	-16.7	-1.7	1	DIV_SPECIFIC	siblings flat (-1.7%) while this is -16.7% -- the LABEL is the difference. Draft is safe to page-verify.
15349	1	6437.0	UNIFORM_NEG	-17.0	+2.8	1	DIV_SPECIFIC	siblings flat (+2.8%) while this is -17.0% -- the LABEL is the difference. Draft is safe to page-verify.
15373	1	6000.0	UNIFORM_NEG	-22.5	+2.1	1	DIV_SPECIFIC	siblings flat (+2.1%) while this is -22.5% -- the LABEL is the difference. Draft is safe to page-verify.
15412	2	4800.0	UNIFORM_NEG	-17.2	+0.6	5	DIV_SPECIFIC	siblings flat (+0.6%) while this is -17.2% -- the LABEL is the difference. Draft is safe to page-verify.
15501	2	6437.0	UNIFORM_NEG	-17.3	-0.7	9	DIV_SPECIFIC	siblings flat (-0.7%) while this is -17.3% -- the LABEL is the difference. Draft is safe to page-verify.
15504	0	4000.0	UNIFORM_NEG	-17.6		0	ALONE	no sibling divisions -- cannot separate
15932	0	4000.0	UNIFORM_NEG	-16.7	+0.2	1	DIV_SPECIFIC	siblings flat (+0.2%) while this is -16.7% -- the LABEL is the difference. Draft is safe to page-verify.
15971	1	6000.0	UNIFORM_POS	+16.6	+2.7	1	DIV_SPECIFIC	siblings flat (+2.7%) while this is +16.6% -- the LABEL is the difference. Draft is safe to page-verify.
16035	0	6000.0	UNIFORM_NEG	-17.6		0	ALONE	no sibling divisions -- cannot separate
16264	1	6437.0	UNIFORM_NEG	-18.0	-3.9	1	DIV_SPECIFIC	siblings flat (-3.9%) while this is -18.0% -- the LABEL is the difference. Draft is safe to page-verify.
16682	0	6000.0	UNIFORM_NEG	-22.2		0	ALONE	no sibling divisions -- cannot separate
16730	1	6437.0	UNIFORM_NEG	-17.5	-0.4	1	DIV_SPECIFIC	siblings flat (-0.4%) while this is -17.5% -- the LABEL is the difference. Draft is safe to page-verify.
17453	0	5000.0	UNIFORM_NEG	-40.2	-16.1	2	PARTIAL_SHARE	siblings shifted -16.1% vs this -40.2% -- ambiguous
17858	1	6437.0	UNIFORM_NEG	-16.4	+3.7	3	DIV_SPECIFIC	siblings flat (+3.7%) while this is -16.4% -- the LABEL is the difference. Draft is safe to page-verify.
23453	0	5000.0	UNIFORM_POS	+16.3	+14.9	1	MEET_WIDE	siblings shifted +14.9% vs this +16.3% -- the MEET moved. DO NOT write a div-wide distance.
23699	1	6437.0	UNIFORM_NEG	-18.8	-0.1	3	DIV_SPECIFIC	siblings flat (-0.1%) while this is -18.8% -- the LABEL is the difference. Draft is safe to page-verify.
44460	191010	8000.0	UNIFORM_POS	+15.5	+21.7	1	MEET_WIDE	siblings shifted +21.7% vs this +15.5% -- the MEET moved. DO NOT write a div-wide distance.
51347	218773	4000.0	UNIFORM_NEG	-29.2	-8.8	2	PARTIAL_SHARE	siblings shifted -8.8% vs this -29.2% -- ambiguous
95614	379722	3000.0	UNIFORM_POS	+27.9	+27.2	1	MEET_WIDE	siblings shifted +27.2% vs this +27.9% -- the MEET moved. DO NOT write a div-wide distance.
115059	459173	2000.0	UNIFORM_NEG	-26.9	+4.7	3	DIV_SPECIFIC	siblings flat (+4.7%) while this is -26.9% -- the LABEL is the difference. Draft is safe to page-verify.
141947	594059	3200.0	UNIFORM_POS	+18.4	-1.3	3	DIV_SPECIFIC	siblings flat (-1.3%) while this is +18.4% -- the LABEL is the difference. Draft is safe to page-verify.
142044	594644	1600.0	UNIFORM_NEG	-43.7	-1.2	7	DIV_SPECIFIC	siblings flat (-1.2%) while this is -43.7% -- the LABEL is the difference. Draft is safe to page-verify.
153854	640872	2414.0	UNIFORM_POS	+31.8	-1.3	5	DIV_SPECIFIC	siblings flat (-1.3%) while this is +31.8% -- the LABEL is the difference. Draft is safe to page-verify.
161692	689587	3200.0	UNIFORM_POS	+22.2	-4.6	5	DIV_SPECIFIC	siblings flat (-4.6%) while this is +22.2% -- the LABEL is the difference. Draft is safe to page-verify.
183741	748973	2100.0	UNIFORM_NEG	-23.3	-6.6	1	PARTIAL_SHARE	siblings shifted -6.6% vs this -23.3% -- ambiguous
206345	827174	5000.0	UNIFORM_NEG	-17.7	+1.4	1	DIV_SPECIFIC	siblings flat (+1.4%) while this is -17.7% -- the LABEL is the difference. Draft is safe to page-verify.
225391	900352	2011.0	UNIFORM_POS	+21.8	-3.9	3	DIV_SPECIFIC	siblings flat (-3.9%) while this is +21.8% -- the LABEL is the difference. Draft is safe to page-verify.
226483	904087	2000.0	UNIFORM_POS	+20.5	-8.8	3	DIV_SPECIFIC	siblings flat (-8.8%) while this is +20.5% -- the LABEL is the difference. Draft is safe to page-verify.
250207	995070	2816.0	UNIFORM_POS	+27.0	+2.2	5	DIV_SPECIFIC	siblings flat (+2.2%) while this is +27.0% -- the LABEL is the difference. Draft is safe to page-verify.
250207	995071	2816.0	UNIFORM_POS	+27.1	+2.2	5	DIV_SPECIFIC	siblings flat (+2.2%) while this is +27.1% -- the LABEL is the difference. Draft is safe to page-verify.
259399	1029967	2000.0	UNIFORM_POS	+20.4	+22.9	3	MEET_WIDE	siblings shifted +22.9% vs this +20.4% -- the MEET moved. DO NOT write a div-wide distance.
264844	1051073	2414.0	UNIFORM_NEG	-26.1	-7.6	5	PARTIAL_SHARE	siblings shifted -7.6% vs this -26.1% -- ambiguous
