meet	div	ov	med_pct	implied	chosen	stored	hit
5321	0	5000.0	-21.2	6345	6437	7998.4396799999995	0
5337	1	6000.0	-18.6	7371	7000	8000.0	0
5350	0	3200.0	-21.3	4066	4000	5000.0	0
5352	0	3200.0	-28.9	4501	4828	5000.0	0
5548	2	6000.0	-25.6	8065	8046.7	8000.0	1
5677	2	6000.0	-19.9	7491	8000	8000.0	1
5686	3	6000.0	-18.5	7362	7000	8000.0	0
5699	1	6000.0	-22.7	7762	8000	8000.0	1
5821	1	6000.0	-20.5	7547	8000	8000.0	1
5831	2	6000.0	-22.3	7722	8000	8046.72	1
6038	1	6000.0	-22.5	7742	8000	8000.0	1
6134	1	6000.0	-22.0	7692	8000	8000.0	1
6149	1	6000.0	-19.8	7481	7000	8000.0	0
6163	1	6437.0	-20.0	8046	8046.7	8000.0	1
6246	1	6437.0	-17.9	7840	8000	8000.0	1
6264	1	6437.0	-19.1	7957	8000	8000.0	1
6310	1	6000.0	-24.0	7895	8000	8000.0	1
6320	1	6437.0	-20.8	8128	8046.7	8000.0	1
6434	0	3218.0	-31.4	4691	4828	5000.0	0
6517	5	4180.0	-20.3	5245	5149	6000.0	0
6561	2	4000.0	-18.5	4908	4828	5000.0	0
6568	2	6000.0	-20.6	7557	8000	8000.0	1
6574	1	6000.0	-20.6	7557	8000	8085.000000000001	1
6742	1	6000.0	-23.7	7864	8000	8046.72	1
6783	0	3200.0	-23.2	4167	4180	4000.0	0
6802	0	3200.0	-23.2	4167	4180	4000.0	0
6859	1	6000.0	-20.4	7538	8000	8000.0	1
6893	42	3218.0	-28.1	4476	4180	5000.0	0
6893	47	3200.0	-19.7	3985	4000	5000.0	0
6893	60	3218.0	-31.7	4712	4828	5000.0	0
6893	62	3218.0	-31.6	4705	4828	5000.0	0
6893	63	3218.0	-29.1	4539	4828	5000.0	0
6911	1	6000.0	-19.8	7481	7000	8000.0	0
6917	1	6437.0	-17.6	7812	8000	8046.72	1
6919	1	6437.0	-18.9	7937	8000	8046.72	1
6929	1	6437.0	-19.3	7976	8000	8000.0	1
6950	0	4000.0	-21.1	5070	5000	5000.0	1
6966	0	3200.0	-21.9	4097	4180	5005.05984	0
7042	1	6000.0	-22.2	7712	8000	8000.0	1
7136	1	6437.0	-18.8	7927	8000	8000.0	1
7148	3	4180.0	-24.8	5559	5500	6000.0	0
7165	1	6000.0	-22.6	7752	8000	8000.0	1
7170	1	6000.0	-21.7	7663	8000	8000.0	1
7207	1	6000.0	-22.5	7742	8000	8000.0	1
7216	2	6000.0	-18.2	7335	7000	8000.0	0
7298	1	6000.0	-20.7	7566	8000	8000.0	1
7384	0	6000.0	-21.1	7605	8000	8000.0	1
7401	1	6000.0	-21.6	7653	8000	8000.0	1
7448	1	6000.0	-21.0	7595	8000	8000.0	1
7483	1	6000.0	-17.0	7229	7000	8000.0	0
7526	1	6437.0	-19.5	7996	8000	8000.0	1
7631	1	6000.0	-22.2	7712	8000	8000.0	1
7673	1	6000.0	-21.6	7653	8000	8000.0	1
7719	0	3218.0	-29.7	4578	4828	5000.0	0
7756	2	6000.0	-21.5	7643	8000	8000.0	1
7757	0	4000.0	-27.9	5548	5500	6000.0	0
7765	0	6000.0	-21.9	7682	8000	8000.0	1
7860	2	6000.0	-22.4	7732	8000	8000.0	1
7871	0	3218.0	-25.2	4302	4180	5000.0	0
8017	1	6000.0	-23.4	7833	8000	8000.0	1
8025	0	6000.0	-18.1	7326	7000	5000.0	0
8067	1	6000.0	-24.2	7916	8000	8000.0	1
8074	1	6000.0	-23.6	7853	8000	8000.0	1
8085	1	6000.0	-22.4	7732	8000	8000.0	1
8089	3	6000.0	-22.5	7742	8000	8000.0	1
8095	1	4000.0	-28.4	5587	5500	6000.0	0
8102	1	6000.0	-22.1	7702	8000	8000.0	1
8249	0	3200.0	-27.4	4408	4180	5000.0	0
8259	1	4000.0	-19.8	4988	5000	6000.0	0
8329	0	2000.0	-27.3	2751	3000	3218.688	0
8377	0	3218.0	-24.8	4279	4180	5000.0	0
8446	0	3218.0	-32.6	4774	4828	5000.0	0
8447	0	4000.0	-17.9	4872	4828	5000.0	0
8448	0	4000.0	-18.6	4914	5000	5000.0	1
8450	0	4000.0	-19.4	4963	5000	5000.0	1
8452	0	4000.0	-19.4	4963	5000	5000.0	1
8453	0	4000.0	-18.6	4914	5000	5000.0	1
8455	0	4000.0	-19.6	4975	5000	5000.0	1
8456	0	4000.0	-19.3	4957	5000	5000.0	1
8505	1	6437.0	-18.1	7860	8000	8000.0	1
8516	0	3218.0	-32.4	4760	4828	4988.9664	0
8716	1	6437.0	-20.7	8117	8046.7	8046.0	1
8725	1	6000.0	-23.8	7874	8000	8000.0	1
8789	1	6000.0	-21.8	7673	8000	8000.0	1
8811	1	6437.0	-21.7	8221	8046.7	8000.0	1
8824	1	6000.0	-21.2	7614	8000	8000.0	1
8829	5	6437.0	-19.4	7986	8000	8000.0	1
8856	1	6000.0	-22.6	7752	8000	8000.0	1
8857	0	3218.0	-26.9	4402	4180	5000.0	0
8874	1	6000.0	-18.5	7362	7000	8000.0	0
8908	1	6000.0	-22.5	7742	8000	8000.0	1
8920	1	6000.0	-21.3	7624	8000	8000.0	1
9018	1	6000.0	-21.5	7643	8000	8000.0	1
9030	0	6000.0	-22.0	7692	8000	8000.0	1
9043	5	6000.0	-21.9	7682	8000	8000.0	1
9067	2	6000.0	-24.5	7947	8000	8000.0	1
9091	1	6000.0	-22.1	7702	8000	8000.0	1
9102	1	6000.0	-21.3	7624	8000	8000.0	1
9119	0	3218.0	-29.2	4545	4828	5005.05984	0
9124	1	6000.0	-23.2	7812	8000	8000.0	1
9168	1	6000.0	-22.6	7752	8000	8046.72	1
9181	1	8000.0	-18.7	9840	10000	10000.0	1
9251	0	3218.0	-26.2	4360	4180	4828.032	0
9264	1	6000.0	-19.4	7444	7000	8000.0	0
9266	1	6000.0	-23.1	7802	8000	8000.0	1
9275	0	6000.0	-23.6	7853	8000	8000.0	1
9283	1	6000.0	-23.2	7812	8000	8000.0	1
9309	1	6000.0	-20.1	7509	8000	8000.0	1
9319	1	6437.0	-21.6	8210	8046.7	8000.0	1
9322	1	6000.0	-25.0	8000	8000	8000.0	1
9327	1	6000.0	-26.1	8119	8046.7	8046.72	1
9340	1	6000.0	-23.2	7812	8000	8000.0	1
9385	3	6000.0	-21.8	7673	8000	8000.0	1
9385	4	6000.0	-21.4	7634	8000	8000.0	1
9414	1	6437.0	-18.6	7908	8000	8000.0	1
9508	1	6000.0	-20.5	7547	8000	8000.0	1
9590	0	4180.0	-23.9	5493	5500	6000.0	0
9623	1	6437.0	-20.5	8097	8046.7	9200.0	0
9769	1	6000.0	-21.1	7605	8000	8000.0	1
9777	1	6000.0	-22.5	7742	8000	8000.0	1
9797	1	6437.0	-18.6	7908	8000	8000.0	1
9879	0	4000.0	-18.2	4890	4828	5000.0	0
9889	2	6000.0	-20.9	7585	8000	8046.72	1
9889	3	6000.0	-21.1	7605	8000	8046.72	1
9920	1	6437.0	-20.0	8046	8046.7	8000.0	1
9960	1	6000.0	-22.3	7722	8000	8000.0	1
10034	1	6000.0	-20.4	7538	8000	8000.0	1
10064	0	5000.0	-22.5	6452	6437	4000.0	0
10075	1	3000.0	-18.4	3676	4000	4000.0	1
10079	0	3000.0	-20.8	3788	4000	4000.0	1
10138	0	4000.0	-17.1	4825	4828	5000.0	0
10146	0	4000.0	-17.3	4837	4828	5000.0	0
10151	0	4000.0	-17.3	4837	4828	5000.0	0
10159	1	4180.0	-21.4	5318	5149	6000.0	0
10246	0	2000.0	-27.7	2766	3000	3000.0	1
10269	1	6000.0	-20.3	7528	8000	8000.0	1
10406	1	6000.0	-20.9	7585	8000	8000.0	1
10426	1	4180.0	-22.4	5387	5500	6000.0	0
10427	1	4180.0	-22.0	5359	5500	6000.0	0
10438	3	3218.0	-23.5	4207	4180	5000.0	0
10446	1	6437.0	-19.0	7947	8000	8000.0	1
10504	1	6437.0	-20.8	8128	8046.7	8400.0	0
10552	1	6437.0	-19.4	7986	8000	8000.0	1
10615	2	6437.0	-18.7	7918	8000	8000.0	1
10637	1	6000.0	-22.2	7712	8000	8000.0	1
10644	1	6000.0	-23.7	7864	8000	8000.0	1
10651	1	6000.0	-22.3	7722	8000	8000.0	1
10685	1	6000.0	-21.8	7673	8000	8000.0	1
10705	2	6437.0	-20.3	8077	8046.7	8000.0	1
10724	1	6000.0	-18.7	7380	7000	8000.0	0
10742	1	6437.0	-19.8	8026	8046.7	8400.0	0
10743	1	6437.0	-19.8	8026	8046.7	8400.0	0
10762	5	6437.0	-20.3	8077	8046.7	8000.0	1
10799	2	6000.0	-20.3	7528	8000	8000.0	1
10840	1	6437.0	-20.5	8097	8046.7	8000.0	1
10843	1	6437.0	-20.0	8046	8046.7	8000.0	1
10844	1	6437.0	-20.4	8087	8046.7	8000.0	1
10854	0	4180.0	-22.3	5380	5500	6000.0	0
10880	1	6437.0	-19.6	8006	8000	8000.0	1
10887	2	6000.0	-20.2	7519	8000	8000.0	1
10959	1	6437.0	-19.9	8036	8046.7	8046.72	1
10966	5	6000.0	-20.5	7547	8000	8000.0	1
10994	1	6000.0	-20.3	7528	8000	8000.0	1
11037	1	6437.0	-19.3	7976	8000	8000.0	1
11122	1	6437.0	-26.1	8710	8046.7	8000.0	1
11163	1	6437.0	-21.7	8221	8046.7	8000.0	1
11180	1	6000.0	-21.0	7595	8000	8000.0	1
11191	1	6437.0	-17.7	7821	8000	8000.0	1
11193	1	6000.0	-21.4	7634	8000	8000.0	1
11211	1	6000.0	-19.6	7463	7000	8000.0	0
11220	1	6000.0	-24.1	7905	8000	8000.0	1
11228	0	3218.0	-25.6	4325	4180	5000.0	0
11347	1	6000.0	-21.5	7643	8000	8000.0	1
11365	0	4180.0	-23.6	5471	5500	6000.0	0
11373	1	8000.0	-19.1	9889	10000	10000.0	1
11379	1	6000.0	-23.6	7853	8000	8000.0	1
11488	1	6000.0	-20.1	7509	8000	8000.0	1
11549	1	6000.0	-21.4	7634	8000	8000.0	1
11570	2	6000.0	-19.3	7435	7000	8000.0	0
11572	3	6437.0	-19.3	7976	8000	8000.0	1
11591	1	6000.0	-19.8	7481	7000	8000.0	0
11631	1	6000.0	-20.9	7585	8000	8000.0	1
11707	1	6000.0	-22.7	7762	8000	8000.0	1
11791	1	6000.0	-19.0	7407	7000	8000.0	0
11961	1	6000.0	-20.0	7500	8000	8000.0	1
11977	1	6000.0	-21.1	7605	8000	8000.0	1
12045	0	4000.0	-18.6	4914	5000	5000.0	1
12077	0	6000.0	-20.9	7585	8000	7998.4396799999995	1
12078	0	6000.0	-20.8	7576	8000	7998.4396799999995	1
12080	0	6000.0	-21.5	7643	8000	7998.4396799999995	1
12081	0	6000.0	-21.2	7614	8000	7998.4396799999995	1
12125	5	6437.0	-20.9	8138	8046.7	8000.0	1
12251	2	6000.0	-22.2	7712	8000	8000.0	1
12319	1	6000.0	-20.6	7557	8000	8000.0	1
12365	0	3218.0	-26.1	4355	4180	4988.9664	0
12412	6	4828.0	-20.4	6065	6000	6437.376	0
12423	0	3218.0	-21.9	4120	4180	4200.0	1
12434	1	6000.0	-17.9	7308	7000	8000.0	0
12550	1	6000.0	-21.4	7634	8000	8000.0	1
12658	2	6000.0	-19.6	7463	7000	8000.0	0
12864	3	6437.0	-19.9	8036	8046.7	8000.0	1
12864	5	6437.0	-21.8	8231	8046.7	8000.0	1
12887	1	6000.0	-20.0	7500	8000	8000.0	1
12919	1	6000.0	-20.6	7557	8000	8000.0	1
12929	1	6437.0	-19.3	7976	8000	8000.0	1
12948	5	4828.0	-21.4	6142	6000	6437.376	0
12953	1	6000.0	-19.9	7491	8000	8000.0	1
12993	1	6000.0	-24.2	7916	8000	8000.0	1
13102	0	6000.0	-21.0	7595	8000	8000.0	1
13104	1	6000.0	-23.3	7823	8000	8000.0	1
13109	1	6000.0	-22.6	7752	8000	8000.0	1
13130	5	6000.0	-20.4	7538	8000	8000.0	1
13167	1	6000.0	-22.4	7732	8000	8000.0	1
13224	1	6000.0	-20.8	7576	8000	8000.0	1
13293	1	6437.0	-19.5	7996	8000	8000.0	1
13381	1	6000.0	-20.0	7500	8000	8000.0	1
13425	3	6000.0	-20.8	7576	8000	8046.72	1
13434	2	6000.0	-21.3	7624	8000	8000.0	1
13434	3	6000.0	-22.4	7732	8000	8000.0	1
13512	1	6437.0	-19.2	7967	8000	8000.0	1
13519	1	6000.0	-21.2	7614	8000	8000.0	1
13524	1	6000.0	-23.5	7843	8000	8000.0	1
13531	1	6000.0	-21.0	7595	8000	8000.0	1
13580	1	6000.0	-21.8	7673	8000	8000.0	1
13671	2	6000.0	-18.8	7389	7000	7600.0	0
13706	1	6000.0	-19.9	7491	8000	8000.0	1
13722	1	6437.0	-18.1	7860	8000	8000.0	1
13738	1	6000.0	-19.3	7435	7000	8000.0	0
13799	7	6000.0	-20.3	7528	8000	8000.0	1
13813	1	6437.0	-18.0	7850	8000	8046.72	1
13831	1	4180.0	-19.9	5218	5149	6000.0	0
13925	1	6000.0	-22.2	7712	8000	8000.0	1
13928	2	6000.0	-17.7	7290	7000	8000.0	0
14026	2	6000.0	-18.8	7389	7000	8000.0	0
14176	1	6000.0	-18.9	7398	7000	8000.0	0
14196	1	6000.0	-20.8	7576	8000	8000.0	1
14355	1	6000.0	-21.9	7682	8000	8000.0	1
14356	1	6000.0	-21.1	7605	8000	8000.0	1
14361	2	6000.0	-21.2	7614	8000	8000.0	1
14361	3	6000.0	-20.6	7557	8000	8000.0	1
14365	6	4828.0	-19.8	6020	6000	6437.376	0
14369	1	6000.0	-20.8	7576	8000	8000.0	1
14420	1	6437.0	-19.4	7986	8000	8000.0	1
14489	1	6000.0	-22.7	7762	8000	8000.0	1
14533	1	6000.0	-22.1	7702	8000	8000.0	1
14573	1	6437.0	-17.9	7840	8000	8000.0	1
14667	5	5000.0	-22.4	6443	6437	6437.376	1
14669	0	6437.0	-19.5	7996	8000	8000.0	1
14677	1	6000.0	-24.2	7916	8000	8000.0	1
14700	1	6437.0	-20.4	8087	8046.7	8000.0	1
14731	1	6437.0	-18.4	7888	8000	8000.0	1
14765	1	6000.0	-22.7	7762	8000	7998.4396799999995	1
14822	1	6000.0	-22.1	7702	8000	8000.0	1
14852	2	6000.0	-18.4	7353	7000	8000.0	0
14913	1	6000.0	-20.9	7585	8000	8000.0	1
14919	1	6000.0	-19.4	7444	7000	8000.0	0
14939	1	6000.0	-20.0	7500	8000	8046.72	1
14966	1	6000.0	-18.5	7362	7000	8000.0	0
14982	0	3218.0	-23.5	4207	4180	5000.0	0
15034	1	6000.0	-21.8	7673	8000	8000.0	1
15125	1	6000.0	-22.4	7732	8000	8000.0	1
15167	1	6000.0	-20.5	7547	8000	8000.0	1
15168	1	6000.0	-20.4	7538	8000	8000.0	1
15175	4	3218.0	-23.7	4218	4180	5000.0	0
15204	1	6000.0	-21.7	7663	8000	8000.0	1
15222	1	6000.0	-21.1	7605	8000	7998.4396799999995	1
15235	2	6437.0	-18.8	7927	8000	8046.72	1
15241	1	6437.0	-18.3	7879	8000	8000.0	1
15246	1	6000.0	-20.8	7576	8000	8000.0	1
15250	1	6437.0	-19.7	8016	8000	8000.0	1
15280	2	6000.0	-21.9	7682	8000	8000.0	1
15307	1	6000.0	-22.7	7762	8000	8000.0	1
15325	5	6000.0	-23.8	7874	8000	8000.0	1
15346	0	3218.0	-27.8	4457	4180	5000.0	0
15360	1	6437.0	-19.7	8016	8000	8000.0	1
15446	1	6437.0	-20.2	8066	8046.7	8000.0	1
15474	1	6437.0	-17.8	7831	8000	8000.0	1
15483	1	6000.0	-22.6	7752	8000	8000.0	1
15563	1	3218.0	-27.4	4433	4180	5000.0	0
15623	2	3000.0	-22.0	3846	4000	4000.0	1
15648	1	6000.0	-22.2	7712	8000	8000.0	1
15661	2	6000.0	-20.2	7519	8000	7885.785600000001	1
15679	1	6000.0	-18.8	7389	7000	8000.0	0
15766	1	6000.0	-20.4	7538	8000	8000.0	1
15797	1	6000.0	-21.6	7653	8000	8000.0	1
15827	1	4180.0	-22.6	5401	5500	6000.0	0
15841	1	6437.0	-19.0	7947	8000	8000.0	1
15869	1	6437.0	-23.6	8425	8046.7	8416.869120000001	0
15874	10	6000.0	-18.1	7326	7000	8000.0	0
15874	11	6000.0	-19.5	7453	7000	8000.0	0
15920	1	4000.0	-17.9	4872	4828	5000.0	0
15924	0	3218.0	-30.7	4644	4828	5000.0	0
15945	1	6437.0	-19.6	8006	8000	8000.0	1
15953	5	4800.0	-17.8	5839	6000	6437.376	0
15964	1	6000.0	-21.2	7614	8000	8000.0	1
15971	1	4180.0	-18.6	5135	5149	6000.0	0
16018	1	6000.0	-20.7	7566	8000	8000.0	1
16025	0	4828.0	-20.6	6081	6000	6400.0	0
16059	1	6000.0	-22.1	7702	8000	8100.0	1
16079	1	6000.0	-21.5	7643	8000	8000.0	1
16081	1	6000.0	-21.2	7614	8000	8000.0	1
16197	1	6000.0	-21.7	7663	8000	8000.0	1
16238	1	6437.0	-20.1	8056	8046.7	8000.0	1
16256	1	6000.0	-23.9	7884	8000	8000.0	1
16272	1	6000.0	-20.9	7585	8000	8000.0	1
16278	1	6437.0	-20.7	8117	8046.7	8000.0	1
16279	1	6000.0	-20.8	7576	8000	8000.0	1
16282	1	6000.0	-20.0	7500	8000	8000.0	1
16286	1	6000.0	-20.5	7547	8000	8000.0	1
16292	17	6437.0	-18.2	7869	8000	8000.0	1
16300	2	6000.0	-23.6	7853	8000	8000.0	1
16300	3	6000.0	-22.5	7742	8000	8000.0	1
16364	1	6000.0	-22.9	7782	8000	8000.0	1
16411	1	6437.0	-18.1	7860	8000	8000.0	1
16522	1	6000.0	-19.9	7491	8000	7998.4396799999995	1
16587	0	3218.0	-24.2	4245	4180	5000.0	0
16608	1	6000.0	-20.5	7547	8000	8000.0	1
16645	1	6000.0	-21.8	7673	8000	8000.0	1
16660	1	6437.0	-18.1	7860	8000	8000.0	1
16672	1	6437.0	-18.3	7879	8000	8000.0	1
16687	1	6000.0	-20.1	7509	8000	8000.0	1
16697	1	6000.0	-22.0	7692	8000	8000.0	1
16722	1	8000.0	-19.1	9889	10000	10000.0	1
17149	1	6000.0	-21.4	7634	8000	8000.0	1
17700	1	6437.0	-17.8	7831	8000	8000.0	1
17742	1	6437.0	-17.8	7831	8000	8000.0	1
17787	2	4180.0	-23.3	5450	5500	6000.0	0
17787	4	6000.0	-20.9	7585	8000	8000.0	1
17805	1	6437.0	-18.7	7918	8000	8000.0	1
17811	2	6000.0	-23.0	7792	8000	8000.0	1
17812	0	4000.0	-17.9	4872	4828	5000.0	0
17820	1	6000.0	-22.5	7742	8000	8000.0	1
17823	1	6437.0	-17.9	7840	8000	8000.0	1
17851	2	6000.0	-21.3	7624	8000	8000.0	1
17854	1	6437.0	-19.5	7996	8000	8000.0	1
17890	5	4800.0	-19.2	5941	6000	6437.376	0
17891	1	6437.0	-18.7	7918	8000	8000.0	1
18078	1	6437.0	-19.7	8016	8000	8000.0	1
18082	1	6000.0	-22.4	7732	8000	8000.0	1
18171	1	6000.0	-22.2	7712	8000	8046.72	1
18175	0	5000.0	-31.1	7257	7000	7000.0	1
18244	7	5000.0	-19.6	6219	6437	6437.376	1
18310	1	6437.0	-18.7	7918	8000	8000.0	1
18333	1	6000.0	-20.8	7576	8000	8000.0	1
18347	1	6437.0	-19.5	7996	8000	7950.159360000001	1
18350	0	4000.0	-19.2	4950	5000	5000.0	1
18392	1	6437.0	-20.8	8128	8046.7	8000.0	1
18418	1	6000.0	-20.9	7585	8000	8000.0	1
18448	1	6000.0	-20.9	7585	8000	8000.0	1
18582	1	6437.0	-18.0	7850	8000	8000.0	1
18604	1	6437.0	-20.8	8128	8046.7	8000.0	1
18631	1	6437.0	-19.6	8006	8000	8000.0	1
18673	1	6437.0	-17.9	7840	8000	8000.0	1
18687	1	6437.0	-19.0	7947	8000	8000.0	1
18699	1	6437.0	-22.1	8263	8046.7	8000.0	1
18745	1	6000.0	-23.0	7792	8000	8000.0	1
18761	1	6000.0	-20.3	7528	8000	8000.0	1
18776	4	6000.0	-18.1	7326	7000	8000.0	0
18816	1	6000.0	-20.3	7528	8000	8000.0	1
18884	2	6000.0	-21.8	7673	8000	8000.0	1
18884	3	6000.0	-21.7	7663	8000	8000.0	1
18892	1	6437.0	-19.9	8036	8046.7	8000.0	1
18894	4	6000.0	-17.6	7282	7000	8000.0	0
18894	5	6000.0	-18.8	7389	7000	8000.0	0
18913	1	6000.0	-21.0	7595	8000	8000.0	1
18915	4	6437.0	-18.1	7860	8000	8000.0	1
19011	0	3218.0	-30.1	4604	4828	5000.0	0
19089	3	6000.0	-20.3	7528	8000	8000.0	1
19108	1	6437.0	-19.6	8006	8000	8000.0	1
19119	1	6000.0	-19.7	7472	7000	8000.0	0
19122	1	6000.0	-20.2	7519	8000	8000.0	1
19146	1	6000.0	-22.5	7742	8000	8000.0	1
19178	2	6000.0	-19.6	7463	7000	8000.0	0
19178	3	6000.0	-21.5	7643	8000	8000.0	1
19180	0	3000.0	-26.1	4060	4000	4000.0	1
19212	1	6000.0	-22.3	7722	8000	8000.0	1
19226	1	6000.0	-20.6	7557	8000	8000.0	1
19228	1	6000.0	-20.4	7538	8000	8000.0	1
19229	1	6000.0	-21.1	7605	8000	8000.0	1
19232	1	6000.0	-21.2	7614	8000	8000.0	1
19234	1	6000.0	-20.3	7528	8000	8000.0	1
19238	1	6000.0	-20.9	7585	8000	8000.0	1
19240	1	6000.0	-23.4	7833	8000	8000.0	1
19251	0	6000.0	-25.9	8097	8046.7	8000.0	1
19255	0	3218.0	-27.8	4457	4180	4828.032	0
19258	1	6000.0	-22.2	7712	8000	8000.0	1
19260	0	3218.0	-27.1	4414	4180	5000.0	0
19301	1	6000.0	-22.2	7712	8000	8000.0	1
19325	1	6000.0	-21.9	7682	8000	8000.0	1
19345	1	6437.0	-18.3	7879	8000	8000.0	1
19389	1	6000.0	-22.6	7752	8000	8000.0	1
19399	2	6000.0	-24.1	7905	8000	8000.0	1
19399	3	6000.0	-24.4	7937	8000	8000.0	1
19472	1	6000.0	-20.1	7509	8000	8000.0	1
19474	2	6000.0	-19.8	7481	7000	8000.0	0
19474	3	6000.0	-21.6	7653	8000	8000.0	1
19480	2	6000.0	-18.4	7353	7000	8000.0	0
19495	1	6000.0	-21.5	7643	8000	8000.0	1
19500	2	4800.0	-21.3	6099	6000	6000.0	1
19519	1	6437.0	-19.6	8006	8000	8000.0	1
19539	1	6437.0	-19.8	8026	8046.7	8000.0	1
19543	1	6437.0	-18.2	7869	8000	8000.0	1
19551	1	6000.0	-23.3	7823	8000	8000.0	1
19553	2	6000.0	-24.0	7895	8000	8000.0	1
19584	1	6437.0	-20.1	8056	8046.7	8000.0	1
19623	1	6000.0	-22.8	7772	8000	8000.0	1
19649	1	6437.0	-19.4	7986	8000	8000.0	1
19667	2	6437.0	-17.5	7802	8000	8000.0	1
19676	1	6437.0	-20.0	8046	8046.7	8046.72	1
19691	1	6000.0	-21.4	7634	8000	8000.0	1
19693	1	6437.0	-18.5	7898	8000	8000.0	1
19694	2	6000.0	-19.1	7417	7000	8000.0	0
19737	1	6000.0	-21.6	7653	8000	8000.0	1
19757	1	6437.0	-17.9	7840	8000	8000.0	1
19785	2	6000.0	-18.9	7398	7000	8000.0	0
19802	1	6000.0	-21.2	7614	8000	8000.0	1
19896	1	6437.0	-20.2	8066	8046.7	8000.0	1
19910	0	6437.0	-19.9	8036	8046.7	5000.0	0
19954	1	6000.0	-22.5	7742	8000	8000.0	1
19955	1	6000.0	-22.1	7702	8000	8000.0	1
19966	1	6000.0	-24.8	7979	8000	8000.0	1
19973	1	6000.0	-21.0	7595	8000	8000.0	1
19999	0	4000.0	-19.6	4975	5000	5000.0	1
20022	1	6000.0	-19.3	7435	7000	8000.0	0
20053	1	6000.0	-24.1	7905	8000	8000.0	1
20081	1	6000.0	-21.7	7663	8000	8000.0	1
20101	2	6000.0	-21.9	7682	8000	8000.0	1
20112	1	6000.0	-23.1	7802	8000	8000.0	1
20142	1	6000.0	-22.3	7722	8000	8000.0	1
20154	1	6437.0	-19.3	7976	8000	8000.0	1
20192	7	6000.0	-22.3	7722	8000	8000.0	1
20228	1	6437.0	-19.2	7967	8000	8000.0	1
20243	1	6000.0	-24.7	7968	8000	8000.0	1
20257	1	6437.0	-18.8	7927	8000	8000.0	1
20298	1	6000.0	-21.8	7673	8000	8000.0	1
20307	1	6000.0	-21.9	7682	8000	8000.0	1
20308	1	6000.0	-20.1	7509	8000	8000.0	1
20321	2	6000.0	-19.5	7453	7000	8000.0	0
20322	1	6000.0	-20.3	7528	8000	8000.0	1
20379	0	4000.0	-18.6	4914	5000	5000.0	1
20406	1	6437.0	-21.0	8148	8046.7	8000.0	1
20426	2	6000.0	-19.9	7491	8000	8000.0	1
