table,location_id,state,lat,lon,n_rows,reason,clue
meets_tf,95355,CA,43.86209,-79.381165,264,outside CA box,Ontario vs Alta Loma
meets_tf,123148,MA,31.791702,-7.09262,264,outside MA box,Stoughton vs Archbishop Williams
meets_tf,56151,AZ,31.774199,-106.47915,261,outside AZ box,Region X Junior Olympics
meets_tf,90812,CT,42.66636,-72.485176,254,outside CT box,"SA vs NMH, Cushing, VA"
meets_tf,59504,OR,33.440063,-117.61686,253,outside OR box,"San Clemente, Aliso Niguel, Mission Viejo, J Serra Quad Meet"
meets_tf,63452,TN,34.81516,-92.354294,235,outside TN box,Christian Competition
meets_tf,128679,AZ,40.143105,47.576927,235,outside AZ box,vs. Coronado + Campo Verde + Poston Butte
meets_tf,143859,TN,13.085566,80.27173,231,outside TN box,World Para Athletics Championships
meets_tf_meta,111677,WA,44.04707,-123.0249,228,outside WA box,Unknown
meets_tf,141950,VA,37.38826,0.0,216,outside VA box,AAU Virginia North District Qualifier
meets_tf,122440,IN,-27.124819,153.36714,205,outside IN box,WesDel/Seton Catholic/Cowan
meets_tf,142047,IL,42.32037,0.0,180,outside IL box,AAU Central District Qualifier 2
meets_tf,81555,MD,40.885666,-75.15146,175,outside MD box,Southern Lehigh vs. Wilson @ Bangor 
meets_tf,102106,PA,47.52825,-122.099686,169,outside PA box,Yough Intrasquad
meets_tf,142045,VA,37.628197,0.0,169,outside VA box,Cannonball Cooper Invite
meets_tf,82532,IN,41.11859,-83.18447,165,outside IN box,Tiffin University HS Meet #3
meets_tf,125503,IN,37.09024,-95.71289,157,outside IN box,"New Haven JH, Paul Harding JH @ Leo JH"
meets_tf,66476,IN,36.418247,-89.04341,156,outside IN box,Union City/Seton Catholic/Union County
meets_tf,140778,NC,35.185627,0.0,153,outside NC box,SAC Championship
meets,634,NV,39.19494,-120.12052,149,outside NV box,North Tahoe HS
meets_tf_meta,123149,MA,31.791702,-7.09262,149,outside MA box,
meets_tf,87727,NY,42.124027,-80.088104,142,outside NY box,Victor Rambler 
meets_tf,89038,PA,42.33513,-71.166466,140,outside PA box,Twin Rivers Invitational
meets,8642,MI,37.09024,-95.71289,137,outside MI box,Unknown: send forum at michigancrosscountry.com
meets_tf,63397,TX,34.762573,-92.33938,137,outside TX box,Christian Competition Invitational Meet
meets_tf,87509,OH,42.090946,-71.26434,134,outside OH box,Olentangy Liberty v. Hilliard Bradley 
meets_tf,52038,NE,2.7763832,-77.6672,133,outside NE box,District D9
meets_tf,63164,IN,34.580578,-92.58205,130,outside IN box,Westview vs. Fairfield
meets_tf,116969,UT,36.07259,-79.77337,130,outside UT box,USATF North Carolina Junior Olympics Championships
meets_tf,141869,NC,36.002644,0.0,125,outside NC box,Ken Roberts Panther Elite
meets_tf,71598,IN,38.683857,-88.35141,123,outside IN box,North Daviess vs. Clay City
meets_tf,142509,TX,29.533957,0.0,121,outside TX box,Afterburners Track Meet
meets_tf,122441,CA,-17.819342,23.953646,120,outside CA box,Suburban League Preliminaries
meets_tf,94581,OR,43.602695,-116.20146,119,outside OR box,Idaho vs Utah Outdoor Border Clash
meets_tf,102202,Ne,47.569965,-52.73489,119,outside NE box,Spring Meet
meets_tf,125420,OH,37.09024,-95.71289,117,outside OH box,Dioc of Cleveland Meet #45-West Geauga
meets_tf,137501,CA,50.097935,-104.722534,115,outside CA box,Wilcox vs. Saratoga
meets_tf,63320,GA,34.713863,-86.58352,108,outside GA box,Huntsville Panther Invitational
meets_tf,83787,IN,41.37978,-83.63008,98,outside IN box,Dayton Wolverine Last Chance Invitational
meets_tf,124847,IL,35.96064,-83.92074,98,outside IL box,Knoxville JHS Track Meet #2
meets,3663,MI,47.60414,-122.1987,96,outside MI box,Bellevue HS
meets_tf,122483,OR,25.064074,72.424706,96,outside OR box,LHS School Records
meets_tf,78943,WI,40.358875,-74.6561,94,outside WI box,Fastest Four and Field Meet
meets_tf,67566,WY,37.17021,-122.16733,91,outside WY box,Riverside Invitational 2012
meets_tf,80422,IN,40.684025,-84.651695,91,outside IN box,Parkway Tri-Meet
meets_tf,79813,IN,40.555428,-84.55776,86,outside IN box,Jay County / Celina / Elida
meets_tf,110162,CA,39.74389,-105.02011,84,outside CA box,AREA MEET COALINGA
meets_tf,62628,TX,34.219276,-92.009575,83,outside TX box,Port City Speed
meets_tf,64190,MO,35.22583,-80.85284,81,outside MO box,WOMS v. Holland Middle School 
meets_tf,52014,HI,-36.7987,145.15033,80,outside HI box,Ruby Tuesday
meets_tf,64147,OH,35.205853,-97.442314,79,outside OH box,Poland Invitational
meets_tf,109881,IN,38.718716,-90.6429,79,outside IN box,Greensburg Invitational
meets_tf,111123,PA,42.335117,-71.16646,78,outside PA box,Williamson & Wyalusing
meets_tf,140544,MO,38.371563,0.0,78,outside MO box,Nortwest Invite
meets_tf,141515,IA,41.50458,0.0,76,outside IA box,WCV HS Coed
meets_tf,122468,IN,20.593683,78.96288,74,outside IN box,Season Bests
meets_tf,136183,WI,45.873196,-112.035576,73,outside WI box,Trempealeau County Meet
meets_tf,64337,SD,35.303905,-119.02019,72,outside SD box,USD Twilight
meets_tf,78955,FL,40.36384,-111.92178,70,outside FL box,Region IV JV Meet
meets_tf,103536,CA,49.305775,-124.20025,70,outside CA box,Bell VS. South Gate
meets_tf,136060,FL,45.681473,-111.03199,70,outside FL box,Bozeman Meet 1
meets_tf,111844,OR,44.73132,-85.63528,68,outside OR box,6A-5 Greater Valley District Meet Day 2
meets_tf,141593,NE,41.180435,0.0,68,outside NE box,SRC 2024 INVT
meets_tf_meta,52018,OR,-27.5583,153.0623,68,outside OR box,Queensland Sport Center (QSAC)
meets_tf,125392,TX,37.09024,-95.71289,67,outside TX box,Alpine Fightin' Buck Relays
meets_tf,141873,PA,40.09904,0.0,66,outside PA box,CYO Area I
meets_tf,63165,NE,34.58184,-94.22119,65,outside NE box,Season Bests
meets_tf,64420,NE,35.34733,-119.0225,65,outside NE box,Wayne JH Invite
meets_tf_meta,141903,KY,38.243637,0.0,65,outside KY box,Eastern High School
meets_tf,86807,WI,41.94991,-88.115234,64,outside WI box,Stratford Middle School Invite
meets_tf,123738,KS,33.300148,-90.94385,64,outside KS box,Washington County MS Meet
meets_tf,125413,MA,37.09024,-95.71289,64,outside MA box,PEMBROKE vs PLYMOUTH SOUTH
meets_tf,125472,CA,37.09024,-95.71289,64,outside CA box,Yreka Lions F/S & Varsity Invitational
meets_tf,125482,MD,37.09024,-95.71289,64,outside MD box,Northwood HS @ Kennedy HS 3:30 P.M.
meets_tf,81539,PA,40.882477,-97.59211,63,outside PA box,Yough
meets_tf,102979,NE,48.1014,-122.18095,63,outside NE box,Marysville Invite
meets_tf,69336,NE,37.871044,-122.25077,62,outside NE box,WACC - Non-Varsity Championships
meets_tf,111402,CA,43.070717,-89.38321,62,outside CA box,El Cap at West Hills
meets_tf_meta,122459,KY,19.3133,-81.2546,62,outside KY box,
meets_tf,77348,CA,40.033005,-75.33668,61,outside CA box,Big East Outdoor Track & Field Championships
meets_tf_meta,66121,LA,36.18571,-86.67797,61,outside LA box,McGavock HS
meets,2330,WV,39.7293,-94.240555,60,outside WV box,Cameron HS
meets_tf,72432,NE,38.895718,-76.98636,60,outside NE box,Dundy JH Track meet
meets_tf,80584,WV,40.711525,-80.63023,60,outside WV box,Beaver Local HS Track meet
meets_tf,110458,IN,40.57406,-93.422295,60,outside IN box,Edgewood
meets_tf,129750,IN,40.779545,-74.02375,60,outside IN box,Union City HS Quad
meets_tf,54570,NY,30.13136,-95.46449,59,outside NY box,Space City Relays
meets_tf,66543,IN,36.515656,-87.277374,59,outside IN box,Clarksville HS Tri-Meet
meets_tf_meta,141795,MN,44.744637,0.0,59,outside MN box,Rosemount High School
meets_tf,62020,PA,34.08148,-118.149994,57,outside PA box,USC
meets_tf,138150,FL,25.971066,0.0,56,outside FL box,Lightning Sprint Out 3
meets_tf,142376,NC,36.060455,0.0,56,outside NC box,Panther Invitational
meets_tf,53118,TX,28.18792,-81.152466,54,outside TX box,Last Chance at Harmony
meets_tf,86523,WI,41.89918,-87.94667,54,outside WI box,Lutheran Invitational
meets_tf,94083,CA,43.440273,-80.42952,54,outside CA box,Unknown Meet
meets_tf,67313,MD,37.020027,-76.35508,53,outside MD box,"Warwick, Hampton, Phoebus, Denbigh, Gloucester"
meets_tf,52559,GA,26.283392,-98.16283,51,outside GA box,RGVCA Meet of Champions 6A Girls
meets_tf,132723,IN,42.633423,-71.31617,51,outside IN box,KV @ Lowell MS
meets_tf,109555,IN,37.28549,-76.76166,50,outside IN box,"Zionsville, Southport, Arsenal Tech"
meets_tf,110832,IN,41.70138,-71.388016,50,outside IN box,Westview vs. Churubusco
meets_tf,142555,IL,41.70867,0.0,50,outside IL box,Akinosun Invitational
meets_tf,66066,IL,36.166477,-86.771286,49,outside IL box,UW-Oshkosh Track and Field Invitational 2001
meets_tf,76873,IN,39.947254,-83.796585,49,outside IN box,Springfield Track Invite
meets_tf,110495,CA,40.69061,-75.20936,49,outside CA box,NHS vs. PV
meets_tf,122439,AR,-38.416096,-63.616673,49,outside AR box,Season Records
meets,6273,IL,37.09024,-95.71289,48,outside IL box,TBA
meets_tf,57366,OR,32.623405,-117.09499,48,outside OR box,NKN Meet
meets_tf,66981,IA,36.81441,-119.75807,48,outside IA box,NLMS Track Meet
meets_tf,103729,IN,53.072636,8.793819,48,outside IN box,IHSAA Girls Sectional (Bremen)
meets_tf,125502,IN,37.09024,-95.71289,48,outside IN box,"Benton Central, Twin Lakes @ Jefferson"
meets_tf,145678,AK,5.005211,7.886361,48,outside AK box,MTN CHAMPS Grand Final
meets_tf,110191,NE,39.843124,-96.635544,47,outside NE box,Marysville Junior High Track Invitational
meets_tf,134870,CA,44.261715,-80.93204,47,outside CA box,Madison vs Crawford
meets_tf_meta,91722,MI,43.07597,-107.29028,46,outside MI box,Wyoming Kelloggsville HS
meets_tf,72399,CA,38.889854,-76.97187,45,outside CA box,Delano Porterville EYL Dual
meets_tf,145666,LA,6.4973726,3.379225,45,outside LA box,MTN CHAMPS Continental Relays
meets_tf_meta,122466,IN,20.593683,78.96288,45,outside IN box,
meets,6893,IN,38.896656,-104.9722,44,outside IN box,Cascade
meets_tf,53021,TX,27.975868,-82.503334,44,outside TX box,East Chambers Buc Relays
meets_tf,96100,IN,44.15743,-91.87955,44,outside IN box,MV vs Gibson Southern
meets,41810,WA,47.95316,-116.58644,43,outside WA box,Farragut State Park
meets_tf,69083,NM,37.765957,-111.58668,43,outside NM box,Escalante Invite
meets_tf,125454,CA,37.09024,-95.71289,43,outside CA box,CMAC #2
meets,33518,SD,45.91746,-102.115295,42,outside SD box,Lemmon Golf Course
meets_tf,61165,IN,33.910698,-82.39807,42,outside IN box,Taft vs. Fegely
meets_tf,86359,WI,41.87045,-87.66749,42,outside WI box,UAA Championships
meets_tf,53303,NY,28.64789,180.0,41,outside NY box,Upper Darby Throwers Invitational
meets_tf_meta,76472,IL,39.85667,-86.038216,41,outside IL box,Lawrence Central HS
meets_tf,111789,IL,44.52393,-89.56616,40,outside IL box,Coldman Invitational 2005
meets_tf,138671,OH,42.25068,-83.62409,39,outside OH box,Mid-American Conference Championships
meets_tf_meta,140576,MO,38.62165,0.0,39,outside MO box,Gateway STEM High School
meets_tf,52217,KS,22.65067,88.4185,38,outside KS box,HOPL MS
meets_tf,69131,MO,37.782677,-122.4004,38,outside MO box,California Open
meets_tf,72413,KS,38.893066,-94.378654,38,outside KS box,Summit Christian Academy Alec Rush Invitational
meets_tf,76553,KY,39.877583,-88.93958,38,outside KY box,AAU Northern National
meets_tf,76865,MD,39.946747,-76.72815,38,outside MD box,"Gettysburg, Messiah, York Tri-Meet"
meets_tf,84705,ME,41.575024,-70.627625,38,outside ME box,"SMAA: Westbrook, Kennebunk @ Falmouth"
meets_tf,86060,WI,41.819664,-72.10697,38,outside WI box,E.C.S.U. Invitational
meets_tf,122628,CA,28.888315,-82.432594,38,outside CA box,Notre Dame at Citrus Hill
meets_tf,125402,CA,37.09024,-95.71289,38,outside CA box,Viking Track Classic
meets_tf,140588,MO,38.595222,0.0,38,outside MO box,Suburban Conference Red Girls Championships
meets_tf,140746,MO,38.745304,0.0,38,outside MO box,Bob Thorpe Invite
meets_tf,57704,OR,32.74047,-117.23055,37,outside OR box,Ross & Sharon Irwin Collegiate Scoring 
meets_tf,67281,FL,37.000336,-94.726776,37,outside FL box,FHSAA 4A District 16
meets_tf,82256,MA,41.056274,-73.76573,37,outside MA box,Loucks games
meets_tf,124796,CA,35.759575,-79.0193,37,outside CA box,Whs/rhs/nhs
meets_tf,125389,IA,37.09024,-95.71289,37,outside IA box,IHSAA 2A District 2 - KP-WC
meets_tf,125481,OH,37.09024,-95.71289,37,outside OH box,St. Vincent v. St. Patrick
meets_tf,57176,WI,32.54625,-117.04484,36,outside WI box,Jim Church Invitational
meets_tf,73446,IA,39.107956,-77.2092,36,outside IA box,MCC Conference Championship
meets_tf,77460,IN,40.050724,-82.915375,36,outside IN box,Eaton Invitational
meets_tf,77618,NE,40.075256,-75.03218,36,outside NE box,NHIAA Meet of Champions
meets_tf,87806,MO,42.138184,-70.69184,36,outside MO box,Marshfield Small Schools Meet
meets_tf,110586,WI,40.945168,-81.12262,36,outside WI box,NCAA DIII National Outdoor 1997
meets_tf,110943,WI,41.992096,-88.1838,36,outside WI box,Flyin' Hawk Invite
meets_tf,123145,MA,31.791702,-7.09262,36,outside MA box,Best Performances
meets_tf,125478,IL,37.09024,-95.71289,36,outside IL box,6th Annual Lady Huskies Invitational
meets_tf,125493,ID,37.09024,-95.71289,36,outside ID box,3A District IV Meet (Day 1 and 2)
meets_tf,133412,NE,43.048122,-76.14742,36,outside NE box,Syracuse Invitational
meets_tf,141698,MO,37.06769,0.0,36,outside MO box,MCSAA State Track Meet - 2024
meets_tf,141791,IA,41.309578,0.0,36,outside IA box,LHC MS Girls Meet
meets_tf,141817,PA,40.022156,0.0,36,outside PA box,Inter-Ac
meets_tf_meta,80676,OR,40.730637,-73.93446,36,outside OR box,Bill McCadden Memorial track
meets_tf,77382,NE,40.03893,-82.951675,35,outside NE box,GNAC Track and Field Meet
meets_tf,125462,IL,37.09024,-95.71289,35,outside IL box,IESA Sectional
meets_tf,52355,NC,26.01114,-80.14601,34,outside NC box,ECC EW/JHR/SC/DHC
meets_tf,61587,NE,34.00059,-84.039085,34,outside NE box,B-6 Districts-Ogallala
meets_tf,67165,IN,36.943325,-76.28942,34,outside IN box,North Side Relays
meets_tf,76778,NE,39.929214,-74.99066,34,outside NE box,Ashland Greenwood Rotary Invite
meets_tf,77733,OR,40.096283,-75.01791,34,outside OR box,"Oakridge, Harrisburg & Glide @ PHill"
meets_tf,92576,NE,43.02755,-76.10669,34,outside NE box,Syracuse Invitational
meets_tf,98028,NE,44.97291,-93.25716,34,outside NE box,Waverly Invitational
meets_tf,108756,IN,32.811703,-97.40861,34,outside IN box,Zionsville vs. Tipton
meets_tf,112782,CA,49.636745,11.792983,34,outside CA box,Vilseck Invite
meets_tf,113155,FL,35.225796,-80.852844,34,outside FL box,Lecanto Frosh/Soph Specatular
meets_tf,124515,OH,34.99125,-79.0306,34,outside OH box,Dick Beeler Invitational
meets_tf,125407,OR,37.09024,-95.71289,34,outside OR box,2A Special District 1 @ Reedsport
meets_tf,125461,NY,37.09024,-95.71289,34,outside NY box,Wiesbaden Invitational
meets_tf,140754,NE,40.17093,0.0,34,outside NE box,Coaches Legacy 2024
meets_tf,141590,NE,42.562496,0.0,34,outside NE box,L&C Conf
meets_tf,141747,NE,41.684925,0.0,34,outside NE box,NSAA D-5 District Championships
meets_tf,63759,OR,35.040348,-98.28468,33,outside OR box,League Meet
meets_tf,64736,NE,35.49276,-94.1387,33,outside NE box,Alma Invitational
meets_tf,100883,CA,46.726353,-71.29727,33,outside CA box,Rio vs Live Oak Colusa E. Nic
meets_tf,108795,MA,32.993656,-6.833425,33,outside MA box,Newton South vs AB
meets_tf,122470,IN,20.593683,78.96288,33,outside IN box,Chesterton Relays
meets_tf,125382,CA,37.09024,-95.71289,33,outside CA box,Riverside City College All-Comers
meets_tf,132724,OR,42.633423,-71.31617,33,outside OR box,2A SD3 @ Oakland 
meets,35967,OR,33.982475,-118.248955,32,outside OR box,Los Angeles
meets_tf,53844,NE,29.622839,-82.81323,32,outside NE box,Hitchcock County JH Invite
meets_tf,62531,VA,34.190994,-80.75974,32,outside VA box,JP Home Meet 2022 #1
meets_tf,80840,NE,40.75802,-73.96017,32,outside NE box,Sutton S-Club Invite
meets_tf,86710,IN,41.9337,-79.60193,32,outside IN box,Brown County @ Columbus East
meets_tf,111898,IN,44.936275,-72.52073,32,outside IN box,Kokomo/Zionsville
meets_tf,122471,IN,20.593683,78.96288,32,outside IN box,IHSAA 3 Participant Standard
meets_tf,124311,IN,34.238125,-118.53012,32,outside IN box,Northridge vs Plymouth
meets_tf,125380,VA,37.09024,-95.71289,32,outside VA box,VHSL 2A Conference 34
meets_tf,125406,IN,37.09024,-95.71289,32,outside IN box,Bellmont vs Norwell
meets_tf,125460,VA,37.09024,-95.71289,32,outside VA box,"Rustburg, E.C. Glass"
meets_tf,125469,IN,37.09024,-95.71289,32,outside IN box,Greensburg vs. Batesville
meets_tf,126188,IN,38.029305,-78.47668,32,outside IN box,Greenfield Central Quad Meet
meets_tf,130571,IN,41.33954,-73.69735,32,outside IN box,Heritage Hills & South Spencer
meets_tf,135309,IN,44.678684,-68.264465,32,outside IN box,Adams Central vs Eastbrook
meets_tf,138416,FL,35.972385,-79.99531,32,outside FL box,High Point Vertklasse
meets,40633,VT,41.922092,-71.53773,31,outside VT box,Bryant College
meets_tf,72116,KS,38.82016,-102.35027,31,outside KS box,Weskan JH Invitational
meets_tf,87437,NE,42.07691,-104.18889,31,outside NE box,"Torrington, Wyo. Invite"
meets_tf,122443,PA,8.537981,-80.78213,31,outside PA box,Yough
meets_tf,125411,NE,37.09024,-95.71289,31,outside NE box,Centura Invite
meets_tf,125415,OR,37.09024,-95.71289,31,outside OR box,Grade School Track and Field - Contact Pat Brock for Registr
meets_tf,134689,MO,44.05207,-123.086754,31,outside MO box,Eugene
meets_tf,52039,ID,2.9686751,99.80663,30,outside ID box,IML JV
meets_tf,52105,MA,17.430212,78.44186,30,outside MA box,Austin Prep vs St. Mary's
meets_tf,75518,VA,39.64176,-77.71999,30,outside VA box,VHSL Group 4A Conference 21 West Championship
meets_tf,76468,OH,39.855885,-74.77606,30,outside OH box,Lima Shawnee Invitational
meets_tf,76774,MD,39.928993,-77.99738,30,outside MD box,"SHC, WB, @ McConnelsburg"
meets_tf,76839,NE,39.941044,-82.99651,30,outside NE box,JH Dragon Invitational
meets_tf,77428,MD,40.046837,-76.312386,30,outside MD box,Franklin and Marshall HS Season Opener 
meets_tf,85917,NE,41.79584,43.45238,30,outside NE box,Sandhills JH Conference Track Meet
meets_tf,87392,OR,42.068985,-76.7965,30,outside OR box,vs Elmira
meets_tf,112087,CA,45.47027,-73.62369,30,outside CA box,LCC vs RBV
meets_tf,122444,CA,9.943866,-84.0795,30,outside CA box,Willow Glen v Santa Teresa
meets_tf,123997,IN,33.774826,-84.29631,30,outside IN box,North Decatur Invite
meets_tf,125378,NC,37.09024,-95.71289,30,outside NC box,Boise Indoor
meets_tf,125442,NE,37.09024,-95.71289,30,outside NE box,Morrill Junior High
meets_tf,125506,OR,37.09024,-95.71289,30,outside OR box,Reedsport Middle Schools Meet
meets_tf,128077,IN,39.739235,-104.99025,30,outside IN box,North Miami vs Eastern
meets_tf,131903,IN,42.162006,-78.97532,30,outside IN box,Randolph So. vs Union Co. vs Wes-Del
meets_tf,52235,KY,25.04302,-77.31604,29,outside KY box,2012 Star Performers Track Classic
meets_tf,61867,OR,34.05252,-117.79034,29,outside OR box,Dual Meet IVHS vs RRHS 
meets_tf,70551,WI,38.39107,-75.41919,29,outside WI box,Pittsville Middle School Invite
meets_tf,87458,NE,42.08273,-87.98522,29,outside NE box,Arlington Tri
meets_tf,52104,CA,17.291588,-62.70674,28,outside CA box,Nevis and St. Kitts National Champs
meets_tf,68462,NE,37.562065,-121.96815,28,outside NE box,Bergan Invite
meets_tf,76941,IN,39.95814,-76.667336,28,outside IN box,"CNMS, Heritage Hilles"
meets_tf,78967,WI,40.366173,-89.54883,28,outside WI box,ITC Meet
meets_tf,80864,PA,40.761387,-111.82578,28,outside PA box,Uniontown
meets_tf,87655,WI,42.11346,-72.75111,28,outside WI box,Westfield MS Track Meet
meets_tf,124251,IN,34.14426,-118.001945,28,outside IN box,Monrovia vs Indian Creek
meets_tf,125979,OR,37.804363,-122.27111,28,outside OR box,LFL Track @ Oakland
meets_tf,128232,IN,39.83672,-84.41134,28,outside IN box,Brookville/Hag./P. Shawnee/Meadowdale
meets_tf,136184,WI,45.873196,-112.035576,28,outside WI box,Whithall MS Meet
meets_tf,142352,AZ,33.323,0.0,28,outside AZ box,Hugh Morrison
meets_tf_meta,138170,MS,34.219753,0.0,28,outside MS box,Lee Academy
meets,13504,NE,32.67385,-97.202194,27,outside NE box,Arlington Town Course
meets_tf,54323,NE,29.96821,-95.465195,27,outside NE box,Wisner Early Bird 7th and 8th
meets_tf,83587,PA,41.33062,-72.19557,27,outside PA box,Connellsville
meets_tf,93183,PA,43.15861,-78.67551,27,outside PA box,LTHS
meets,7020,WV,35.289608,-78.97189,26,outside WV box,Anderson's Golf Course
meets_tf,66224,NE,36.241962,-86.86542,26,outside NE box,McCool Tom White Invitational
meets_tf,82174,PA,41.038456,-80.671234,26,outside PA box,NTL JH CHAMPIONSHIP
meets_tf,89069,PA,42.339306,-71.08659,26,outside PA box,AAA Qualifiers
meets_tf,97520,PA,44.825962,-93.29253,26,outside PA box,Monessen
meets_tf,109112,PA,34.06167,-84.4183,26,outside PA box,Haverford v. GA
meets_tf,109390,KY,35.97402,-83.91179,26,outside KY box,Univ of Kentucky HS Meet
meets_tf,122595,IN,28.337225,-82.25842,26,outside IN box,EIAC HSR Qualifier
meets_tf,127761,IN,39.45977,-91.03513,26,outside IN box,Pike/Lawrence North/North Central
meets_tf,129011,IN,40.340923,-76.41135,26,outside IN box,Zionsville/Lebanon
meets_tf,135492,WI,44.91234,-93.30104,26,outside WI box,Southwestern MS Invite
meets_tf,135501,WI,44.927353,-93.281,26,outside WI box,Baldwin-Woodville Invite
meets_tf_meta,69190,IL,37.80081,-121.91881,26,outside IL box,Danville Fieldhouse
meets,36163,SC,39.51598,-77.65167,25,outside SC box,Boonsboro High School
meets_tf,91894,WY,42.904484,-85.71324,25,outside WY box,Wyoming State Championships
meets_tf,123147,MA,31.791702,-7.09262,25,outside MA box,New Englands
meets_tf_meta,99970,SD,45.94215,-102.1626,25,outside SD box,Lemmon Lions Field
meets_tf,54046,CA,29.744902,-95.39485,24,outside CA box,USATF Junior Olympic Nationals
meets_tf,56647,IN,32.25215,-80.89897,24,outside IN box,Wells County Championship
meets_tf,69566,IN,37.966164,-121.217766,24,outside IN box,Fegely Vs Hobart
meets_tf,78929,NE,40.354782,-76.72982,24,outside NE box,Banner County Invite
meets_tf,83578,IN,41.32817,-73.68998,24,outside IN box,CNMS vs Heritage Hills
meets_tf,83609,IN,41.335327,-73.08297,24,outside IN box,Tiger Relays
meets_tf,111922,CA,44.95816,-93.10506,24,outside CA box,MW Dual
meets_tf,125437,MA,37.09024,-95.71289,24,outside MA box,Duxbury vs Whitman-Hanson
meets_tf,137522,CA,50.972385,-102.94179,24,outside CA box,Van Nuys Rotary
meets_tf,137558,IN,55.95325,-3.188267,24,outside IN box,Edinburgh Lancer Relays
meets_tf,53300,MA,28.631071,77.28114,23,outside MA box,Wellesley
meets_tf,66961,KS,36.806973,-97.73498,23,outside KS box,Medford Invitational
meets_tf,73054,KS,39.017773,-94.12506,23,outside KS box,AAU Missouri Valley District Qualifier
meets_tf,137481,CA,49.518486,-105.22599,23,outside CA box,"Tri-City, SFC vs Horizon"
meets_tf_meta,110789,NE,41.59114,-81.20041,23,outside NE box,Chadron HS
meets,1395,OH,30.54324,-87.2356,22,outside OH box,Scenic Hills Course
meets,2617,NE,34.094673,-118.40272,22,outside NE box,South Park Course
meets,3067,NV,40.701252,-74.28725,22,outside NV box,Wells
meets_tf,76824,MD,39.9363,-77.99841,22,outside MD box,Dual
meets_tf,83571,IN,41.326828,-73.065605,22,outside IN box,Ansonia Tiger Relays
meets_tf,110293,AZ,40.143105,47.576927,22,outside AZ box,GSW Classic
meets_tf,112745,IN,48.533936,-123.01329,22,outside IN box,City/County JV Invitational
meets_tf,141943,NE,40.838478,0.0,22,outside NE box,Midwest Night of Stars
meets_tf,142644,MI,42.962082,0.0,22,outside MI box,AQ MITS #2
meets_tf_meta,141237,MN,44.784782,0.0,22,outside MN box,Burnsville High School
meets_tf,93914,CA,43.401875,-80.322525,21,outside CA box,NU DO
meets_tf,108414,IN,12.842629,77.65164,21,outside IN box,Big Orange
meets_tf,131424,VA,41.902916,12.453389,21,outside VA box,IAC Varsity B Meet
meets_tf,135760,IL,45.253784,-69.445465,21,outside IL box,Ritter Invite
meets_tf_meta,128679,AZ,40.143105,47.576927,21,outside AZ box,
meets_tf_meta,123148,MA,31.791702,-7.09262,21,outside MA box,
meets_tf,95442,MA,43.90558,-69.823074,20,outside MA box,vs. Hebron
meets_tf,99915,CA,45.89085,-119.51271,20,outside CA box,EOU Team Challenge
