key,empty,street,city,state,zip,raw,n_meets
__empty__4695,1,,,,,,1
__empty__6930,1,,,,,,1
__empty__7063,1,,,,,,1
__empty__4628,1,,,,,,1
__empty__4606,1,,,,,,1
__empty__7039,1,,,,,,1
__empty__7036,1,,,,,,1
__empty__6764,1,,,,,,1
__empty__4637,1,,,,,,1
__empty__4581,1,,,,,,1
__empty__4579,1,,,,,,1
__empty__4607,1,,,,,,1
__empty__4608,1,,,,,,1
__empty__6880,1,,,,,,1
__empty__5242,1,,,,,,1
__empty__6770,1,,,,,,1
__empty__8167,1,,,,,,1
__empty__7296,1,,,,,,1
__empty__7317,1,,,,,,1
univ of st joseph west hartford ct 06117|CT,0,,Univ. of St. Joseph West Hartford,CT,06117,"Univ. of St. Joseph West Hartford, CT 06117",1
__empty__6905,1,,,,,,1
__empty__7034,1,,,,,,1
__empty__9076,1,,,,,,1
__empty__7005,1,,,,,,1
__empty__6925,1,,,,,,1
__empty__6916,1,,,,,,1
__empty__6775,1,,,,,,1
__empty__6750,1,,,,,,1
__empty__7523,1,,,,,,1
__empty__6742,1,,,,,,1
__empty__5277,1,,,,,,1
__empty__5396,1,,,,,,1
__empty__5298,1,,,,,,1
__empty__4464,1,,,,,,1
__empty__4466,1,,,,,,1
__empty__7490,1,,,,,,1
__empty__7527,1,,,,,,1
__empty__7575,1,,,,,,1
__empty__7618,1,,,,,,1
__empty__7530,1,,,,,,1
__empty__7047,1,,,,,,1
__empty__7031,1,,,,,,1
__empty__9209,1,,,,,,1
texas a m international university 5201 university blvd laredo tx 78041|TX,0,5201 University Blvd. Laredo,University Blvd. Laredo,TX,78041,"Texas A&M International University 5201 University Blvd. Laredo, TX 78041",2
mt greylock hs williamstown ma 01267|MA,0,,Mt. Greylock HS Williamstown,MA,01267,"Mt. Greylock HS Williamstown, MA 01267",1
__empty__9211,1,,,,,,1
bethlehem pa 18015|PA,0,,Bethlehem,PA,18015,"Bethlehem, PA 18015",1
magnuson park seattle wa 98115|WA,0,,Magnuson Park Seattle,WA,98115,"Magnuson Park Seattle, WA 98115",1
fort worth tx 76117|TX,0,,Fort Worth,TX,76117,"Fort Worth, TX 76117",1
__empty__7472,1,,,,,,1
moorview soccer complex 23rd st s moorhead mn 56560|MN,0,,rd St S Moorhead,MN,56560,"Moorview Soccer Complex 23rd St S Moorhead, MN 56560",1
__empty__7627,1,,,,,,1
__empty__7622,1,,,,,,1
west texas a m univ canyon tx canyon tx 79016|TX,0,,M Univ. Canyon,TX,79016,"West Texas A&M Univ. Canyon, TX Canyon, TX 79016",1
__empty__4594,1,,,,,,1
__empty__7319,1,,,,,,1
__empty__7303,1,,,,,,1
__empty__4566,1,,,,,,1
__empty__4519,1,,,,,,1
__empty__4276,1,,,,,,1
__empty__3354,1,,,,,,1
__empty__3299,1,,,,,,1
__empty__3221,1,,,,,,1
__empty__3244,1,,,,,,1
__empty__3301,1,,,,,,1
__empty__4182,1,,,,,,1
__empty__5225,1,,,,,,1
__empty__5238,1,,,,,,1
__empty__4977,1,,,,,,1
__empty__5061,1,,,,,,1
__empty__5013,1,,,,,,1
__empty__4333,1,,,,,,1
__empty__7684,1,,,,,,1
kingswood park mason oh 45039|OH,0,,Kingswood Park Mason,OH,45039,"Kingswood Park Mason, OH 45039",1
__empty__5106,1,,,,,,1
__empty__4986,1,,,,,,1
__empty__4598,1,,,,,,1
__empty__3723,1,,,,,,1
__empty__3835,1,,,,,,1
__empty__3768,1,,,,,,1
__empty__7621,1,,,,,,1
__empty__7591,1,,,,,,1
__empty__7596,1,,,,,,1
__empty__7033,1,,,,,,1
__empty__7578,1,,,,,,1
__empty__7582,1,,,,,,1
__empty__7584,1,,,,,,1
__empty__7570,1,,,,,,1
__empty__7579,1,,,,,,1
__empty__7508,1,,,,,,1
__empty__6832,1,,,,,,1
__empty__6851,1,,,,,,1
__empty__6816,1,,,,,,1
__empty__6809,1,,,,,,1
__empty__6842,1,,,,,,1
__empty__6829,1,,,,,,1
__empty__6882,1,,,,,,1
__empty__8360,1,,,,,,1
__empty__8318,1,,,,,,1
__empty__7624,1,,,,,,1
__empty__4527,1,,,,,,1
__empty__4533,1,,,,,,1
__empty__4531,1,,,,,,1
__empty__4516,1,,,,,,1
__empty__7037,1,,,,,,1
__empty__7077,1,,,,,,1
__empty__7520,1,,,,,,1
__empty__7533,1,,,,,,1
hobart college geneva ny 14623|NY,0,,Hobart College Geneva,NY,14623,"Hobart College Geneva, NY 14623",1
__empty__7535,1,,,,,,1
__empty__7476,1,,,,,,1
__empty__7468,1,,,,,,1
__empty__3309,1,,,,,,1
__empty__6918,1,,,,,,1
__empty__6909,1,,,,,,1
__empty__6929,1,,,,,,1
__empty__6941,1,,,,,,1
__empty__6914,1,,,,,,1
__empty__4190,1,,,,,,1
__empty__4184,1,,,,,,1
__empty__4197,1,,,,,,1
__empty__4172,1,,,,,,1
__empty__4199,1,,,,,,1
__empty__4173,1,,,,,,1
patrick s point state park 4150 patricks point dr trinidad ca 95570|CA,0,4150 Patricks Point Dr Trinidad,Patricks Point Dr Trinidad,CA,95570,"Patrick's Point State Park 4150 Patricks Point Dr Trinidad, CA 95570",1
__empty__4765,1,,,,,,1
__empty__3856,1,,,,,,1
__empty__7372,1,,,,,,1
__empty__7374,1,,,,,,1
__empty__3709,1,,,,,,1
__empty__4362,1,,,,,,1
__empty__4354,1,,,,,,1
__empty__4314,1,,,,,,1
__empty__7304,1,,,,,,1
__empty__7308,1,,,,,,1
__empty__7397,1,,,,,,1
__empty__7389,1,,,,,,1
__empty__7416,1,,,,,,1
__empty__6838,1,,,,,,1
beeson park kernersville nc 28645|NC,0,,Beeson Park Kernersville,NC,28645,"Beeson Park Kernersville, NC 28645",2
__empty__4358,1,,,,,,1
__empty__6846,1,,,,,,1
__empty__6762,1,,,,,,1
__empty__6783,1,,,,,,1
__empty__4939,1,,,,,,1
__empty__4919,1,,,,,,1
__empty__5065,1,,,,,,1
__empty__5133,1,,,,,,1
veterans park hoover alabama hoover al 35242|AL,0,,Alabama Hoover,AL,35242,"Veterans Park, Hoover, Alabama Hoover, AL 35242",1
unf golf course 1 betty holzendorf drive jacksonville fl 32224|FL,0,1 Betty Holzendorf Drive Jacksonville,Betty Holzendorf Drive Jacksonville,FL,32224,"UNF Golf Course 1 Betty Holzendorf Drive Jacksonville, FL 32224",1
__empty__7630,1,,,,,,1
__empty__4322,1,,,,,,1
__empty__7437,1,,,,,,1
__empty__7435,1,,,,,,1
__empty__4273,1,,,,,,1
__empty__4272,1,,,,,,1
cross country course center valley pa 18034|PA,0,,Cross Country Course Center Valley,PA,18034,"Cross Country Course Center Valley, PA 18034",1
__empty__4701,1,,,,,,1
__empty__4697,1,,,,,,1
nw missouri maryville mo 12345|MO,0,,NW Missouri Maryville,MO,12345,"NW Missouri Maryville, MO 12345",1
__empty__9692,1,,,,,,1
__empty__7376,1,,,,,,1
__empty__6950,1,,,,,,1
__empty__7536,1,,,,,,1
__empty__7538,1,,,,,,1
__empty__6781,1,,,,,,1
__empty__4366,1,,,,,,1
__empty__4400,1,,,,,,1
__empty__10009,1,,,,,,1
__empty__13983,1,,,,,,1
__empty__10001,1,,,,,,1
chamizal national memorial park el paso tx 79905|TX,0,,Chamizal National Memorial Park El Paso,TX,79905,"Chamizal National Memorial Park El Paso, TX 79905",1
red rocks park south burlington vt 05405|VT,0,,Red Rocks Park South Burlington,VT,05405,"Red Rocks Park South Burlington, VT 05405",2
__empty__12722,1,,,,,,1
__empty__14035,1,,,,,,1
__empty__7961,1,,,,,,1
__empty__7480,1,,,,,,1
__empty__7531,1,,,,,,1
__empty__7479,1,,,,,,1
university of north texas discovery park 3940 n elm st denton tx 76207|TX,0,3940 N. Elm St. Denton,N. Elm St. Denton,TX,76207,"University of North Texas, Discovery Park 3940 N. Elm St. Denton, TX 76207",1
__empty__7420,1,,,,,,1
akron north canton oh 44720|OH,0,,Akron North Canton,OH,44720,"Akron North Canton, OH 44720",1
st leo university the abbey course saint leo fl 33574|FL,0,,St Leo University - The Abbey Course Sai,FL,33574,"St Leo University - The Abbey Course Saint Leo, FL 33574",1
dsu outreach research center dover de 19709|DE,0,,Research Center Dover,DE,19709,"DSU Outreach & Research Center Dover, DE 19709",1
pine view golf club 52065 pulver road three rivers mi 49093|MI,0,52065 Pulver Road Three Rivers,Pulver Road Three Rivers,MI,52065,"Pine View Golf Club 52065 Pulver Road Three Rivers, MI 49093",1
__empty__9177,1,,,,,,1
winthrop university rock hill sc 34189|SC,0,,Winthrop University Rock Hill,SC,34189,"Winthrop University Rock Hill, SC 34189",1
__empty__9990,1,,,,,,1
como golf course st paul st paul mn 55116|MN,0,,St. Paul St. Paul,MN,55116,"Como Golf Course, St. Paul St. Paul, MN 55116",2
vcp bronx ny 10471|NY,0,,VCP Bronx,NY,10471,"VCP Bronx, NY 10471",1
rebsamen golf course little rock ar 72204|AR,0,,Rebsamen Golf Course Little Rock,AR,72204,"Rebsamen Golf Course Little Rock, AR 72204",10
__empty__9672,1,,,,,,1
lower woodland park seattle wa 98103|WA,0,,Lower Woodland Park Seattle,WA,98103,"Lower Woodland Park Seattle, WA 98103",2
marquette mi 49855|MI,0,,Marquette,MI,49855,"Marquette, MI 49855",1
__empty__8358,1,,,,,,1
angel mounds cross country course evansville in 47714|IN,0,,Angel Mounds Cross Country Course Evansv,IN,47714,"Angel Mounds Cross Country Course Evansville, IN 47714",1
family life center 250 old farmers rd clarksville tn 37040|TN,0,250 Old Farmers Rd Clarksville,Old Farmers Rd Clarksville,TN,37040,"Family Life Center 250 Old Farmers Rd Clarksville, TN 37040",2
__empty__14630,1,,,,,,1
west texas a m univ canyon tx 79016|TX,0,,M Univ Canyon,TX,79016,"West Texas A&M Univ Canyon, TX 79016",1
__empty__8241,1,,,,,,1
__empty__7650,1,,,,,,1
st vincent abington pa|PA,0,,St. Vincent Abington,PA,,"St. Vincent Abington, PA",1
__empty__7628,1,,,,,,1
__empty__7587,1,,,,,,1
__empty__15668,1,,,,,,1
__empty__7571,1,,,,,,1
oakville indian mounds course danville al 35601|AL,0,,Oakville Indian Mounds Course Danville,AL,35601,"Oakville Indian Mounds Course Danville, AL 35601",1
core creek park woodbourne road langhorne pa 19047|,0,,Core Creek Park woodbourne road langhorn,PA,19047,"Core Creek Park woodbourne road langhorne, pa 19047",2
mounty marty college yankton sd 51101|SD,0,,Mounty Marty College Yankton,SD,51101,"Mounty Marty College Yankton, SD 51101",1
__empty__4396,1,,,,,,1
__empty__4360,1,,,,,,1
__empty__4377,1,,,,,,1
__empty__4378,1,,,,,,1
pvamu 700 university drive prairie view tx 77446|TX,0,700 University Drive Prairie View,University Drive Prairie View,TX,77446,"PVAMU 700 University Drive Prairie View, TX 77446",1
__empty__4385,1,,,,,,1
green bay arboretum trails green bay wi 54311|WI,0,,Green Bay Arboretum Trails Green Bay,WI,54311,"Green Bay Arboretum Trails Green Bay, WI 54311",1
__empty__14266,1,,,,,,1
bethel mn st paul mn 55112|MN,0,,Bethel MN St. Paul,MN,55112,"Bethel MN St. Paul, MN 55112",2
__empty__14194,1,,,,,,1
__empty__9869,1,,,,,,1
fairbanks cross country park san luis obisbo ca 93405|CA,0,,Fairbanks Cross Country Park San Luis Ob,CA,93405,"Fairbanks Cross Country Park San Luis Obisbo, CA 93405",2
__empty__9685,1,,,,,,1
mira loma park reno nv 89502|NV,0,,Mira Loma Park Reno,NV,89502,"Mira Loma Park Reno, NV 89502",2
stoatin brae golf course augusta mi 49008|MI,0,,Stoatin Brae Golf Course Augusta,MI,49008,"Stoatin Brae Golf Course Augusta, MI 49008",1
montana missoula mt 59812|MT,0,,Montana Missoula,MT,59812,"Montana Missoula, MT 59812",11
eastern state course williamsburg va 23185|VA,0,,Eastern State Course Williamsburg,VA,23185,"Eastern State Course Williamsburg, VA 23185",1
dale watts cross country course college station tx 77843|TX,0,,Dale Watts Cross Country course College ,TX,77843,"Dale Watts Cross Country course College Station, TX 77843",1
__empty__8438,1,,,,,,1
__empty__9370,1,,,,,,1
lake sammamish 2000 northwest sammamish road issaquah wa 98027|WA,0,2000 Northwest Sammamish Road Issaquah,Northwest Sammamish Road Issaquah,WA,98027,"Lake Sammamish 2000 Northwest Sammamish Road Issaquah, WA 98027",1
the hackler course at coastal carolina university 107 citadel drive conway sc 29526|SC,0,107 Citadel Drive Conway,Citadel Drive Conway,SC,29526,"The Hackler Course at Coastal Carolina University 107 Citadel Drive Conway, SC 29526",1
__empty__10812,1,,,,,,1
u montana missoula mt 59801|MT,0,,U Montana Missoula,MT,59801,"U Montana Missoula, MT 59801",2
cheyney university cheyney pa 19319|PA,0,,Cheyney University Cheyney,PA,19319,"Cheyney University Cheyney, PA 19319",1
memorial park sugar land sugar land tx 77479|TX,0,,Memorial Park Sugar Land Sugar Land,TX,77479,"Memorial Park Sugar Land Sugar Land, TX 77479",1
east complex moorhead mn 56562|MN,0,,East Complex Moorhead,MN,56562,"East Complex Moorhead, MN 56562",2
avery park 100 avery park road corvallis or 97330|OR,0,100 Avery Park Road Corvallis,Avery Park Road Corvallis,OR,97330,"Avery Park 100 Avery Park Road Corvallis, OR 97330",7
__empty__9444,1,,,,,,1
u p r rio piedras san juan pr 00960|PR,0,,U.P.R. Rio Piedras San Juan,PR,00960,"U.P.R. Rio Piedras San Juan, PR 00960",1
van cortland park bronx ny 10462|NY,0,,Van Cortland Park Bronx,NY,10462,"Van Cortland Park Bronx, NY 10462",1
__empty__9914,1,,,,,,1
craig ranch regional park north las vegas nv 89154|NV,0,,Craig Ranch Regional Park North Las Vega,NV,89154,"Craig Ranch Regional Park North Las Vegas, NV 89154",6
king city king city ca 93924|CA,0,,King City King City,CA,93924,"King City King City, CA 93924",1
irvine regional park orange ca irvine ca 92862|CA,0,,Orange,CA,92862,"Irvine Regional Park (Orange, CA) Irvine, CA 92862",1
hot soccer fields 6101 airport rd waco tx 76710|TX,0,6101 Airport Rd Waco,Airport Rd Waco,TX,76710,"HOT Soccer Fields 6101 Airport Rd Waco, TX 76710",10
__empty__10404,1,,,,,,1
__empty__10003,1,,,,,,1
nmsu intramural fields las cruces nm 88003|NM,0,,NMSU-Intramural Fields Las Cruces,NM,88003,"NMSU-Intramural Fields Las Cruces , NM 88003",1
__empty__14600,1,,,,,,1
__empty__9617,1,,,,,,1
pike island city not supplied mn|MN,0,,Pike Island City Not Supplied,MN,,"Pike Island City Not Supplied, MN",1
pembroke hs pembroke ma 2358|,0,,Pembroke HS Pembroke,MA,,"Pembroke HS Pembroke, MA 2358",2
weibring golf course 800 gregory street normal il 61761|IL,0,800 Gregory Street Normal,Gregory Street Normal,IL,61761,"Weibring Golf Course 800 Gregory Street Normal, IL 61761",1
california berkeley ca 94720|CA,0,,California Berkeley,CA,94720,"California Berkeley, CA 94720",2
__empty__13288,1,,,,,,1
__empty__13321,1,,,,,,1
__empty__13043,1,,,,,,1
university park golf course muskegon mi 48109|MI,0,,University Park Golf Course Muskegon,MI,48109,"University Park Golf Course Muskegon, MI 48109",1
soar athletic fields columbia sc 29203|SC,0,,SOAR Athletic Fields Columbia,SC,29203,"SOAR Athletic Fields Columbia, SC 29203",1
fairbanks cross country course san luis obispo ca 93924|CA,0,,Fairbanks Cross Country Course San Luis ,CA,93924,"Fairbanks Cross Country Course San Luis Obispo, CA 93924",1
olmos basin park san antonio tx|TX,0,,Olmos Basin Park San Antonio,TX,,"Olmos Basin Park San Antonio, TX",2
__empty__14132,1,,,,,,1
pembroke hs pembroke ma|MA,0,,Pembroke HS Pembroke,MA,,"Pembroke HS Pembroke, MA",1
wartburg xc course waverly ia wartburg ia 50677|IA,0,,Wartburg XC Course - Waverly,IA,50677,"Wartburg XC Course - Waverly, IA Wartburg, IA 50677",1
__empty__14443,1,,,,,,1
lowes creek county park eau claire wi 55441|WI,0,,Lowes Creek County Park Eau Claire,WI,55441,"Lowes Creek County Park Eau Claire, WI 55441",5
__empty__14358,1,,,,,,1
__empty__15846,1,,,,,,1
__empty__15941,1,,,,,,1
__empty__22350,1,,,,,,1
grimes field hillsbrough nh 03244|NH,0,,Grimes Field Hillsbrough,NH,03244,"Grimes Field Hillsbrough, NH 03244",2
sewanee golf course sewanee tn 37383|TN,0,,Sewanee Golf Course Sewanee,TN,37383,"Sewanee Golf Course Sewanee, TN 37383",2
dreher park west palm beach fl 33405|FL,0,,Dreher Park West Palm Beach,FL,33405,"Dreher Park West Palm Beach, FL 33405",1
chowan university murfreesboro nc 27855|NC,0,,Chowan University Murfreesboro,NC,27855,"Chowan University Murfreesboro, NC 27855",1
crystal springs xc course millbrae ca|CA,0,,Crystal Springs XC Course Millbrae,CA,,"Crystal Springs XC Course Millbrae, CA",2
baker field lancaster pa lancaster pa 17604|PA,0,,Lancaster,PA,17604,"Baker Field, Lancaster, PA Lancaster, PA 17604",2
silo oaks sumterville fl|FL,0,,Silo Oaks Sumterville,FL,,"Silo Oaks Sumterville, FL",2
__empty__20646,1,,,,,,1
__empty__22573,1,,,,,,1
tca campus lake worth fl 33463|FL,0,,TCA Campus Lake Worth,FL,33463,"TCA Campus Lake Worth, FL 33463",2
__empty__20413,1,,,,,,1
clark county fairgrounds springfield oh 45501|OH,0,,Clark County Fairgrounds Springfield,OH,45501,"Clark County Fairgrounds Springfield, OH 45501",1
heritage park 3221 north adrian hwy adrian mi 49221|MI,0,3221 North Adrian Hwy Adrian,North Adrian Hwy Adrian,MI,49221,"Heritage Park 3221 North Adrian Hwy Adrian, MI 49221",1
el dorado park el dorado ca|CA,0,,El Dorado Park El Dorado,CA,,"El Dorado Park El Dorado, CA",1
van cortland park new york ny 11111|NY,0,,Van Cortland Park New York,NY,11111,"Van Cortland Park New York, NY 11111",1
mt greylock hs williamstown ma|MA,0,,MT GREYLOCK HS WILLIAMSTOWN,MA,,"MT GREYLOCK HS WILLIAMSTOWN, MA",2
universidad upr recinto rio piedras san juan pr 00926|PR,0,,Universidad UPR-Recinto Rio Piedras San ,PR,00926,"Universidad UPR-Recinto Rio Piedras San Juan, PR 00926",5
sunset hill farm 775 meridian road valparaiso in 46383|IN,0,775 Meridian Road Valparaiso,Meridian Road Valparaiso,IN,46383,"Sunset Hill Farm 775 Meridian Road Valparaiso, IN 46383",1
__empty__19789,1,,,,,,1
stu campus miami fl 33054|FL,0,,STU CAMPUS Miami,FL,33054,"STU CAMPUS Miami, FL 33054",1
__empty__22136,1,,,,,,1
fountain central high school veedersburg in|IN,0,,Fountain Central High School Veedersburg,IN,,"Fountain Central High School Veedersburg, IN",1
cocoa beach cocoa beach fl 32931|FL,0,,Cocoa Beach Cocoa Beach,FL,32931,"Cocoa Beach Cocoa Beach, FL 32931",2
harding unviersity searcy ar 72143|AR,0,,Harding Unviersity Searcy,AR,72143,"Harding Unviersity Searcy, AR 72143",1
wickham park melbourne fl|FL,0,,Wickham Park Melbourne,FL,,"Wickham Park Melbourne, FL",1
__empty__22043,1,,,,,,1
buffalo ranch boulder co 80309|CO,0,,Buffalo Ranch Boulder,CO,80309,"Buffalo Ranch Boulder, CO 80309",1
__empty__21403,1,,,,,,1
bradley palmer state park essex county ma 01915|MA,0,,Bradley Palmer State Park Essex County,MA,01915,"Bradley Palmer State Park Essex County, MA 01915",1
nvu lyndon lyndon vt 05819|VT,0,,NVU-Lyndon Lyndon,VT,05819,"NVU-Lyndon Lyndon, VT 05819",1
forest akers east golf course east lansing mi mi|MI,0,,Forest Akers East Golf Course East Lansi,MI,,"Forest Akers East Golf Course East Lansing, MI, MI",1
brookdale cc lincroft nj|NJ,0,,Brookdale CC Lincroft,NJ,,"Brookdale CC Lincroft, NJ",1
winthrop farm cross country course rock hill sc 29733|SC,0,,Winthrop Farm Cross Country Course Rock ,SC,29733,"Winthrop Farm Cross Country Course Rock Hill, SC 29733",1
__empty__15923,1,,,,,,1
__empty__9961,1,,,,,,1
__empty__14485,1,,,,,,1
high point university high point nc 27268|NC,0,,High Point University High Point,NC,27268,"High Point University High Point, NC 27268",1
lake breeze golf course winneconne wi 12345|WI,0,,Lake Breeze Golf Course Winneconne,WI,12345,"Lake Breeze Golf Course Winneconne, WI 12345",1
__empty__16051,1,,,,,,1
rice 6100 south main houston tx 77251|TX,0,6100 South Main Houston,South Main Houston,TX,77251,"Rice 6100 South Main Houston, TX 77251",1
__empty__16100,1,,,,,,1
pecan grove park sherman tx|TX,0,,Pecan Grove Park Sherman,TX,,"Pecan Grove Park Sherman, TX",1
university park golf course mi|MI,0,,University Park Golf Course,MI,,"University Park Golf Course , MI",2
__empty__17377,1,,,,,,1
__empty__20841,1,,,,,,1
__empty__20849,1,,,,,,1
roanoke 2501 green hill park road salem va 24153|VA,0,2501 Green Hill Park Road Salem,Green Hill Park Road Salem,VA,24153,"Roanoke 2501 Green Hill Park Road Salem, VA 24153",1
air force usaf academy co 80840|CO,0,,Air Force USAF Academy,CO,80840,"Air Force USAF Academy, CO 80840",1
oval at schendley park pittsburgh pa 15222|PA,0,,Oval at Schendley Park Pittsburgh,PA,15222,"Oval at Schendley Park Pittsburgh, PA 15222",1
__empty__16478,1,,,,,,1
greenfield prk milwaukee wi 53234|WI,0,,Greenfield Prk Milwaukee,WI,53234,"Greenfield Prk Milwaukee, WI 53234",1
cse morristown nj 07940|NJ,0,,CSE Morristown,NJ,07940,"CSE Morristown, NJ 07940",1
__empty__15862,1,,,,,,1
purdue northwest westville 1401 us 421 westville in 46391|IN,0,1401 US,Westville,IN,46391,"Purdue Northwest Westville 1401 US 421 Westville, IN 46391",1
skutt catholic athletic complex omaha ne 68178|NE,0,,Skutt Catholic Athletic Complex Omaha,NE,68178,"Skutt Catholic Athletic Complex Omaha, NE 68178",1
sunset hill farm county park 775 meridian rd valparaiso in 46385|IN,0,775 Meridian Rd Valparaiso,Meridian Rd Valparaiso,IN,46385,"Sunset Hill Farm County Park 775 Meridian Rd Valparaiso, IN 46385",1
__empty__15867,1,,,,,,1
__empty__16349,1,,,,,,1
franklin franklin in 46131|IN,0,,Franklin Franklin,IN,46131,"Franklin Franklin, IN 46131",1
northview church carmel in 46033|IN,0,,Northview Church Carmel,IN,46033,"Northview Church Carmel , IN 46033",1
__empty__15725,1,,,,,,1
__empty__16597,1,,,,,,1
delaware valley university doylestown pa|PA,0,,Delaware Valley University Doylestown,PA,,"Delaware Valley University Doylestown, PA",4
university of st joseph west hartford ct 19131|CT,0,,University of St. Joseph West Hartford,CT,19131,"University of St. Joseph West Hartford, CT 19131",1
__empty__15935,1,,,,,,1
st catherines city not supplied mn|MN,0,,St. Catherines City Not Supplied,MN,,"St. Catherines City Not Supplied, MN",1
__empty__16334,1,,,,,,1
griffon xc st joseph mo 64501|MO,0,,Griffon XC St. Joseph,MO,64501,"Griffon XC St. Joseph, MO 64501",1
ives estate park miami fl 33179|FL,0,,Ives Estate Park Miami,FL,33179,"Ives Estate Park Miami, FL 33179",2
__empty__10007,1,,,,,,1
sleepy hollow golf course dillon mt 59725|MT,0,,Sleepy Hollow Golf Course Dillon,MT,59725,"Sleepy Hollow Golf Course Dillon, MT 59725",1
monsignor pace campus miami fl 33054|FL,0,,Monsignor Pace Campus Miami,FL,33054,"Monsignor Pace Campus Miami, FL 33054",1
__empty__20479,1,,,,,,1
__empty__20535,1,,,,,,1
__empty__20536,1,,,,,,1
__empty__20643,1,,,,,,1
nvu lyndon lyndon vt 05849|VT,0,,NVU Lyndon Lyndon,VT,05849,"NVU Lyndon Lyndon, VT 05849",1
huntingdon cross country course 4080 moore road grady al 36036|AL,0,4080 Moore Road Grady,Moore Road Grady,AL,36036,"Huntingdon Cross Country Course 4080 Moore Road Grady, AL 36036",1
reflection ridge lookout mountain tn 30750|TN,0,,Reflection Ridge Lookout Mountain,TN,30750,"Reflection Ridge Lookout Mountain, TN 30750",1
lake buena vista hs orlando fl 32836|FL,0,,Lake Buena Vista HS Orlando,FL,32836,"Lake Buena Vista HS Orlando, FL 32836",3
lely naples fl 34113|FL,0,,Lely Naples,FL,34113,"Lely Naples, FL 34113",1
harmony high school st cloud fl 34769|FL,0,,Harmony High School St. Cloud,FL,34769,"Harmony High School St. Cloud, FL 34769",1
martin county hs 16001 west sr 84 jupiter fl 34994|HS,0,16001 West SR,,HS,16001,"Martin County HS 16001 West SR-84 Jupiter, FL 34994",1
__empty__17204,1,,,,,,1
smith river sports complex axton va|VA,0,,Smith River Sports Complex Axton,VA,,"Smith River Sports Complex Axton, VA",2
__empty__18341,1,,,,,,1
__empty__20410,1,,,,,,1
__empty__18221,1,,,,,,1
lbc campus course lancaster pa 17601|PA,0,,LBC Campus Course Lancaster,PA,17601,"LBC Campus Course Lancaster, PA 17601",1
__empty__18740,1,,,,,,1
michelbook country club mcminnville or 97128|OR,0,,Michelbook Country Club McMinnville,OR,97128,"Michelbook Country Club McMinnville, OR 97128",1
crystal springs course millbrae ca|CA,0,,Crystal Springs Course Millbrae,CA,,"Crystal Springs Course Millbrae, CA",2
randolph golf course tucson az 85711|AZ,0,,Randolph Golf Course Tucson,AZ,85711,"Randolph Golf Course Tucson, AZ 85711",1
mdca campus mount dora fl 32757|FL,0,,MDCA Campus Mount Dora,FL,32757,"MDCA Campus Mount Dora, FL 32757",1
__empty__18663,1,,,,,,1
taylor univ farm upland in 46953|IN,0,,Taylor Univ Farm Upland,IN,46953,"Taylor Univ Farm Upland, IN 46953",1
bishop verot ft myers fl 33919|FL,0,,Bishop Verot Ft. Myers,FL,33919,"Bishop Verot Ft. Myers, FL 33919",2
